date,precip
1966-JAN,216.0
1966-FEB,190.0
1966-MAR,20.0
1966-APR,0.0
1966-MAY,6.0
1966-JUN,11.0
1966-JUL,245.0
1966-AUG,223.0
1966-SEP,310.0
1966-OCT,28.0
1966-NOV,30.0
1966-DEC,4.0
1967-JAN,3.0
1967-FEB,20.0
1967-MAR,4.0
1967-APR,34.0
1967-MAY,20.0
1967-JUN,90.0
1967-JUL,695.0
1967-AUG,126.0
1967-SEP,88.0
1967-OCT,155.0
1967-NOV,62.0
1967-DEC,397.0
1968-JAN,56.0
1968-FEB,114.0
1968-MAR,177.0
1968-APR,30.0
1968-MAY,2.0
1968-JUN,0.0
1968-JUL,322.0
1968-AUG,436.0
1968-SEP,24.0
1968-OCT,15.0
1968-NOV,90.0
1968-DEC,52.0
1969-JAN,19.0
1969-FEB,60.0
1969-MAR,41.0
1969-APR,12.0
1969-MAY,12.0
1969-JUN,0.0
1969-JUL,369.0
1969-AUG,452.0
1969-SEP,58.0
1969-OCT,5.0
1969-NOV,72.0
1969-DEC,98.0
1970-JAN,0.0
1970-FEB,30.0
1970-MAR,115.0
1970-APR,4.0
1970-MAY,2.0
1970-JUN,34.0
1970-JUL,171.0
1970-AUG,234.0
1970-SEP,273.0
1970-OCT,19.0
1970-NOV,0.0
1970-DEC,33.0
1971-JAN,0.0
1971-FEB,61.0
1971-MAR,3.0
1971-APR,26.0
1971-MAY,5.0
1971-JUN,3.0
1971-JUL,227.0
1971-AUG,401.0
1971-SEP,146.0
1971-OCT,118.0
1971-NOV,92.0
1971-DEC,254.0
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,2.0
1972-APR,0.0
1972-MAY,0.0
1972-JUN,34.0
1972-JUL,284.0
1972-AUG,231.0
1972-SEP,229.0
1972-OCT,370.0
1972-NOV,113.0
1972-DEC,42.0
1973-JAN,40.0
1973-FEB,122.0
1973-MAR,285.0
1973-APR,7.0
1973-MAY,0.0
1973-JUN,67.0
1973-JUL,213.0
1973-AUG,92.0
1973-SEP,18.0
1973-OCT,0.0
1973-NOV,28.0
1973-DEC,0.0
1974-JAN,125.0
1974-FEB,0.0
1974-MAR,60.0
1974-APR,0.0
1974-MAY,3.0
1974-JUN,3.0
1974-JUL,431.0
1974-AUG,145.0
1974-SEP,195.0
1974-OCT,146.0
1974-NOV,79.0
1974-DEC,10.0
1975-JAN,43.0
1975-FEB,3.0
1975-MAR,64.0
1975-APR,33.0
1975-MAY,0.0
1975-JUN,0.0
1975-JUL,219.0
1975-AUG,47.0
1975-SEP,227.0
1975-OCT,0.0
1975-NOV,37.0
1975-DEC,44.0
1976-JAN,8.0
1976-FEB,67.0
1976-MAR,35.0
1976-APR,45.0
1976-MAY,34.758620689655174
1976-JUN,6.0
1976-JUL,350.0
1976-AUG,72.0
1976-SEP,206.0
1976-OCT,48.0
1976-NOV,65.0
1976-DEC,15.0
1977-JAN,294.0
1977-FEB,8.0
1977-MAR,52.0
1977-APR,39.0
1977-MAY,0.0
1977-JUN,10.0
1977-JUL,156.0
1977-AUG,161.0
1977-SEP,273.0
1977-OCT,235.0
1977-NOV,5.0
1977-DEC,91.0
1978-JAN,174.0
1978-FEB,135.0
1978-MAR,110.0
1978-APR,5.0
1978-MAY,20.0
1978-JUN,5.0
1978-JUL,385.0
1978-AUG,25.0
1978-SEP,100.0
1978-OCT,415.0
1978-NOV,235.0
1978-DEC,302.0
1979-JAN,240.0
1979-FEB,35.0
1979-MAR,113.0
1979-APR,0.0
1979-MAY,66.0
1979-JUN,60.0
1979-JUL,62.0
1979-AUG,230.0
1979-SEP,0.0
1979-OCT,0.0
1979-NOV,0.0
1979-DEC,50.0
1980-JAN,38.0
1980-FEB,275.0
1980-MAR,110.0
1980-APR,44.0
1980-MAY,0.0
1980-JUN,0.0
1980-JUL,326.0
1980-AUG,142.0
1980-SEP,93.0
1980-OCT,16.0
1980-NOV,8.2
1980-DEC,15.0
1981-JAN,100.0
1981-FEB,248.0
1981-MAR,105.0
1981-APR,50.0
1981-MAY,2.0
1981-JUN,11.0
1981-JUL,395.0
1981-AUG,42.0
1981-SEP,191.0
1981-OCT,3.0
