date,precip
1923-JAN,0.0
1923-FEB,30.0
1923-MAR,35.0
1923-APR,9.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,583.0
1923-AUG,315.0
1923-SEP,70.0
1923-OCT,0.0
1923-NOV,335.0
1923-DEC,187.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,270.0
1924-APR,72.0
1924-MAY,0.0
1924-JUN,12.0
1924-JUL,320.0
1924-AUG,133.0
1924-SEP,48.0
1924-OCT,0.0
1924-NOV,50.0
1924-DEC,31.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,17.0
1925-APR,35.0
1925-MAY,0.0
1925-JUN,87.0
1925-JUL,209.0
1925-AUG,393.0
1925-SEP,94.0
1925-OCT,123.0
1925-NOV,189.0
1925-DEC,50.0
1926-JAN,130.0
1926-FEB,100.0
1926-MAR,180.0
1926-APR,127.0
1926-MAY,0.0
1926-JUN,8.0
1926-JUL,259.0
1926-AUG,34.0
1926-SEP,369.0
1926-OCT,57.0
1926-NOV,0.0
1926-DEC,262.0
1927-JAN,18.0
1927-FEB,112.0
1927-MAR,98.0
1927-APR,37.0
1927-MAY,0.0
1927-JUN,16.0
1927-JUL,124.0
1927-AUG,498.0
1927-SEP,214.0
1927-OCT,13.0
1927-NOV,29.0
1927-DEC,226.0
1928-JAN,0.0
1928-FEB,186.0
1928-MAR,0.0
1928-APR,8.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,192.0
1928-AUG,324.0
1928-SEP,53.0
1928-OCT,89.0
1928-NOV,42.0
1928-DEC,62.0
1929-JAN,72.0
1929-FEB,153.0
1929-MAR,87.0
1929-APR,38.0
1929-MAY,0.0
1929-JUN,26.0
1929-JUL,212.0
1929-AUG,391.0
1929-SEP,397.0
1929-OCT,0.0
1929-NOV,19.0
1929-DEC,31.0
1930-JAN,187.0
1930-FEB,97.0
1930-MAR,221.0
1930-APR,13.0
1930-MAY,130.0
1930-JUN,163.0
1930-JUL,253.0
1930-AUG,203.0
1930-SEP,10.0
1930-OCT,19.0
1930-NOV,308.0
1930-DEC,45.0
1931-JAN,96.0
1931-FEB,288.0
1931-MAR,0.0
1931-APR,81.0
1931-MAY,0.0
1931-JUN,237.0
1931-JUL,213.0
1931-AUG,1194.0
1931-SEP,244.0
1931-OCT,4.0
1931-NOV,267.0
1931-DEC,90.0
1932-JAN,100.0
1932-FEB,249.0
1932-MAR,41.0
1932-APR,23.0
1932-MAY,0.0
1932-JUN,56.0
1932-JUL,542.0
1932-AUG,458.0
1932-SEP,30.0
1932-OCT,152.0
1932-NOV,0.0
1932-DEC,175.0
1933-JAN,100.0
1933-FEB,37.0
1933-MAR,0.0
1933-APR,14.0
1933-MAY,0.0
1933-JUN,32.0
1933-JUL,230.0
1933-AUG,174.0
1933-SEP,135.0
1933-OCT,53.0
1933-NOV,125.0
1933-DEC,16.0
1934-JAN,70.0
1934-FEB,109.0
1934-MAR,28.0
1934-APR,0.0
1934-MAY,5.0
1934-JUN,38.0
1934-JUL,142.0
1934-AUG,345.0
1934-SEP,63.0
1934-OCT,0.0
1934-NOV,63.0
1934-DEC,226.0
1935-JAN,170.0
1935-FEB,126.0
1935-MAR,149.0
1935-APR,0.0
1935-MAY,13.0
1935-JUN,0.0
1935-JUL,159.0
1935-AUG,645.0
1935-SEP,216.0
1935-OCT,0.0
1935-NOV,228.0
1935-DEC,153.0
1936-JAN,65.0
1936-FEB,155.0
1936-MAR,75.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,28.0
1936-JUL,301.0
1936-AUG,281.0
1936-SEP,124.0
1936-OCT,21.0
1936-NOV,87.0
1936-DEC,138.0
1937-JAN,174.0
1937-FEB,179.0
1937-MAR,74.0
1937-APR,0.0
1937-MAY,20.0
