date,precip
1932-JAN,107.17647058823528
1932-FEB,231.41176470588235
1932-MAR,27.647058823529413
1932-APR,28.0
1932-MAY,0.0
1932-JUN,13.0
1932-JUL,455.0
1932-AUG,349.0
1932-SEP,38.0
1932-OCT,191.0
1932-NOV,0.0
1932-DEC,179.0
1933-JAN,114.0
1933-FEB,45.0
1933-MAR,0.0
1933-APR,20.0
1933-MAY,0.0
1933-JUN,31.0
1933-JUL,320.0
1933-AUG,253.0
1933-SEP,196.0
1933-OCT,66.0
1933-NOV,92.0
1933-DEC,59.0
1934-JAN,70.0
1934-FEB,86.0
1934-MAR,67.0
1934-APR,18.0
1934-MAY,14.0
1934-JUN,49.0
1934-JUL,132.0
1934-AUG,477.0
1934-SEP,67.0
1934-OCT,0.0
1934-NOV,71.0
1934-DEC,245.0
1935-JAN,198.0
1935-FEB,129.0
1935-MAR,181.0
1935-APR,0.0
1935-MAY,18.0
1935-JUN,0.0
1935-JUL,137.0
1935-AUG,683.0
1935-SEP,304.0
1935-OCT,0.0
1935-NOV,246.0
1935-DEC,154.0
1936-JAN,59.0
1936-FEB,144.0
1936-MAR,95.0
1936-APR,1.0
1936-MAY,0.0
1936-JUN,24.0
1936-JUL,323.0
1936-AUG,205.0
1936-SEP,203.0
1936-OCT,30.0
1936-NOV,109.0
1936-DEC,139.0
1937-JAN,218.0
1937-FEB,163.0
1937-MAR,79.0
1937-APR,5.0
1937-MAY,6.0
1937-JUN,17.0
1937-JUL,337.0
1937-AUG,295.0
1937-SEP,131.0
1937-OCT,38.0
1937-NOV,0.0
1937-DEC,129.0
1938-JAN,76.0
1938-FEB,115.0
1938-MAR,110.0
1938-APR,8.0
1938-MAY,16.0
1938-JUN,175.0
1938-JUL,473.0
1938-AUG,339.0
1938-SEP,158.0
1938-OCT,1.0
1938-NOV,17.0
1938-DEC,54.0
1939-JAN,90.0
1939-FEB,171.0
1939-MAR,28.0
1939-APR,36.0
1939-MAY,0.0
1939-JUN,0.0
