date,precip
1934-JAN,54.21052631578947
1934-FEB,102.6842105263158
1934-MAR,33.68421052631579
1934-APR,2.421052631578948
1934-MAY,7.736842105263157
1934-JUN,34.10526315789474
1934-JUL,34.0
1934-AUG,273.0
1934-SEP,0.0
1934-OCT,0.0
1934-NOV,69.15789473684211
1934-DEC,268.0
1935-JAN,169.0
1935-FEB,127.0
1935-MAR,187.0
1935-APR,0.0
1935-MAY,5.0
1935-JUN,0.0
1935-JUL,134.0
1935-AUG,480.0
1935-SEP,182.0
1935-OCT,0.0
1935-NOV,199.0
1935-DEC,119.0
1936-JAN,61.0
1936-FEB,145.0
1936-MAR,67.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,11.0
1936-JUL,242.0
1936-AUG,228.0
1936-SEP,204.0
1936-OCT,13.0
1936-NOV,115.0
1936-DEC,135.0
1937-JAN,188.0
1937-FEB,120.0
1937-MAR,74.0
1937-APR,0.0
1937-MAY,5.0
1937-JUN,5.0
1937-JUL,227.0
1937-AUG,197.0
1937-SEP,180.0
1937-OCT,18.0
1937-NOV,0.0
1937-DEC,157.0
1938-JAN,55.0
1938-FEB,76.0
1938-MAR,68.0
1938-APR,0.0
1938-MAY,0.0
1938-JUN,150.0
1938-JUL,105.0
1938-AUG,158.0
1938-SEP,0.0
1938-OCT,0.0
1938-NOV,5.0
1938-DEC,83.0
1939-JAN,86.0
1939-FEB,104.0
1939-MAR,22.0
1939-APR,32.0
1939-MAY,0.0
1939-JUN,35.0
1939-JUL,122.0
1939-AUG,371.0
1939-SEP,146.0
1939-OCT,74.0
1939-NOV,67.0
1939-DEC,49.0
1940-JAN,15.0
1940-FEB,188.0
1940-MAR,0.0
1940-APR,18.0
1940-MAY,4.0
1940-JUN,181.0
1940-JUL,102.0
1940-AUG,346.0
1940-SEP,343.0
1940-OCT,66.0
1940-NOV,104.0
1940-DEC,280.0
1941-JAN,92.0
1941-FEB,135.0
1941-MAR,127.0
1941-APR,166.0
1941-MAY,75.0
1941-JUN,0.0
1941-JUL,148.0
1941-AUG,215.0
1941-SEP,143.0
1941-OCT,55.0
1941-NOV,7.0
1941-DEC,202.0
1942-JAN,83.0
1942-FEB,113.0
1942-MAR,24.0
1942-APR,70.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,193.0
1942-AUG,222.0
1942-SEP,221.0
1942-OCT,97.0
1942-NOV,0.0
1942-DEC,10.0
1943-JAN,76.0
1943-FEB,0.0
1943-MAR,106.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,9.0
1943-JUL,216.0
1943-AUG,227.0
1943-SEP,185.0
1943-OCT,86.0
1943-NOV,0.0
1943-DEC,78.0
1944-JAN,95.0
1944-FEB,138.0
1944-MAR,101.0
1944-APR,17.0
1944-MAY,0.0
1944-JUN,0.0
1944-JUL,178.0
1944-AUG,424.0
1944-SEP,108.0
1944-OCT,57.0
1944-NOV,223.0
1944-DEC,122.0
1945-JAN,53.0
1945-FEB,27.0
1945-MAR,67.0
1945-APR,25.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,215.0
1945-AUG,537.0
1945-SEP,29.0
1945-OCT,275.0
1945-NOV,
1945-DEC,92.0
1946-JAN,192.0
1946-FEB,3.0
1946-MAR,34.0
1946-APR,0.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,346.0
1946-AUG,360.0
1946-SEP,276.0
1946-OCT,45.0
1946-NOV,98.0
1946-DEC,41.0
1947-JAN,41.0
1947-FEB,5.0
1947-MAR,29.0
1947-APR,0.0
1947-MAY,0.0
1947-JUN,43.0
