date,precip
1923-JAN,0.0
1923-FEB,26.0
1923-MAR,61.0
1923-APR,0.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,274.0
1923-AUG,426.0
1923-SEP,130.0
1923-OCT,0.0
1923-NOV,281.0
1923-DEC,133.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,237.0
1924-APR,80.0
1924-MAY,0.0
1924-JUN,9.0
1924-JUL,185.0
1924-AUG,98.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,0.0
1924-DEC,148.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,20.0
1925-APR,47.0
1925-MAY,0.0
1925-JUN,210.0
1925-JUL,151.0
1925-AUG,281.0
1925-SEP,118.0
1925-OCT,136.0
1925-NOV,197.0
1925-DEC,44.0
1926-JAN,107.0
1926-FEB,79.0
1926-MAR,196.0
1926-APR,142.0
1926-MAY,17.0
1926-JUN,5.0
1926-JUL,197.0
1926-AUG,82.0
1926-SEP,360.0
1926-OCT,113.0
1926-NOV,0.0
1926-DEC,208.0
1927-JAN,18.0
1927-FEB,104.0
1927-MAR,113.0
1927-APR,9.0
1927-MAY,1.0
1927-JUN,22.0
1927-JUL,81.0
1927-AUG,283.0
1927-SEP,175.0
1927-OCT,17.0
1927-NOV,25.0
1927-DEC,170.0
1928-JAN,0.0
1928-FEB,155.0
1928-MAR,0.0
1928-APR,6.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,165.0
1928-AUG,157.0
1928-SEP,116.0
1928-OCT,55.0
1928-NOV,47.0
1928-DEC,69.0
1929-JAN,70.0
1929-FEB,98.0
1929-MAR,69.0
1929-APR,21.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,179.0
1929-AUG,187.0
1929-SEP,252.0
1929-OCT,0.0
1929-NOV,5.0
1929-DEC,31.0
1930-JAN,207.0
1930-FEB,65.0
1930-MAR,183.0
1930-APR,4.0
1930-MAY,85.0
1930-JUN,180.0
1930-JUL,254.0
1930-AUG,190.0
1930-SEP,4.0
1930-OCT,3.0
1930-NOV,200.0
1930-DEC,88.0
1931-JAN,110.0
1931-FEB,255.0
1931-MAR,7.0
1931-APR,26.0
1931-MAY,5.0
1931-JUN,73.0
1931-JUL,278.0
1931-AUG,710.0
1931-SEP,132.0
1931-OCT,0.0
1931-NOV,260.0
1931-DEC,65.0
1932-JAN,106.0
1932-FEB,160.0
1932-MAR,22.0
1932-APR,5.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,450.0
1932-AUG,133.0
1932-SEP,39.0
1932-OCT,176.0
1932-NOV,0.0
1932-DEC,189.0
1933-JAN,78.0
1933-FEB,25.0
1933-MAR,0.0
1933-APR,28.0
1933-MAY,0.0
1933-JUN,31.0
1933-JUL,273.0
1933-AUG,95.0
1933-SEP,252.0
1933-OCT,160.0
1933-NOV,72.0
1933-DEC,22.0
1934-JAN,38.0
1934-FEB,122.0
1934-MAR,25.0
1934-APR,3.0
1934-MAY,0.0
1934-JUN,21.0
1934-JUL,302.0
1934-AUG,207.0
1934-SEP,7.0
1934-OCT,0.0
1934-NOV,73.0
1934-DEC,205.0
1935-JAN,147.0
1935-FEB,167.0
1935-MAR,246.0
1935-APR,0.0
1935-MAY,13.0
1935-JUN,0.0
1935-JUL,231.0
1935-AUG,425.0
1935-SEP,130.0
1935-OCT,0.0
1935-NOV,204.0
1935-DEC,107.0
1936-JAN,63.0
1936-FEB,118.0
1936-MAR,44.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,2.0
1936-JUL,272.0
1936-AUG,156.0
1936-SEP,101.0
1936-OCT,23.0
1936-NOV,107.0
1936-DEC,91.0
1937-JAN,178.0
1937-FEB,72.0
1937-MAR,73.0
1937-APR,0.0
1937-MAY,15.0
1937-JUN,38.0
1937-JUL,154.0
1937-AUG,324.0
1937-SEP,65.0
1937-OCT,13.0
1937-NOV,0.0
1937-DEC,91.0
1938-JAN,63.0
