date,precip
1923-JAN,0.0
1923-FEB,51.0
1923-MAR,49.0
1923-APR,22.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,479.0
1923-AUG,337.0
1923-SEP,67.0
1923-OCT,0.0
1923-NOV,300.0
1923-DEC,178.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,264.0
1924-APR,38.0
1924-MAY,0.0
1924-JUN,18.0
1924-JUL,464.0
1924-AUG,82.0
1924-SEP,47.0
1924-OCT,40.0
1924-NOV,22.0
1924-DEC,158.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,10.0
1925-APR,27.0
1925-MAY,0.0
1925-JUN,99.0
1925-JUL,187.0
1925-AUG,339.0
1925-SEP,108.0
1925-OCT,136.0
1925-NOV,175.0
1925-DEC,48.0
1926-JAN,112.0
1926-FEB,94.0
1926-MAR,223.0
1926-APR,106.0
1926-MAY,17.0
1926-JUN,5.0
1926-JUL,244.0
1926-AUG,45.0
1926-SEP,374.0
1926-OCT,154.0
1926-NOV,0.0
1926-DEC,188.0
1927-JAN,18.0
1927-FEB,92.0
1927-MAR,93.0
1927-APR,64.0
1927-MAY,0.0
1927-JUN,14.0
1927-JUL,133.0
1927-AUG,495.0
1927-SEP,254.0
1927-OCT,12.0
1927-NOV,22.0
1927-DEC,200.0
1928-JAN,0.0
1928-FEB,182.0
1928-MAR,0.0
1928-APR,8.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,257.0
1928-AUG,206.0
1928-SEP,124.0
1928-OCT,83.0
1928-NOV,59.0
1928-DEC,58.0
1929-JAN,70.0
1929-FEB,135.0
1929-MAR,84.0
1929-APR,34.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,211.0
1929-AUG,403.0
1929-SEP,375.0
1929-OCT,0.0
1929-NOV,3.0
1929-DEC,31.0
1930-JAN,208.0
1930-FEB,98.0
1930-MAR,210.0
1930-APR,0.0
1930-MAY,128.0
1930-JUN,183.0
1930-JUL,470.0
1930-AUG,246.0
1930-SEP,0.0
1930-OCT,6.0
1930-NOV,290.0
1930-DEC,0.0
1931-JAN,100.0
1931-FEB,254.0
1931-MAR,5.0
1931-APR,68.0
1931-MAY,0.0
1931-JUN,160.0
1931-JUL,228.0
1931-AUG,1053.0
1931-SEP,146.0
1931-OCT,14.0
1931-NOV,219.0
1931-DEC,60.0
1932-JAN,85.0
1932-FEB,208.0
1932-MAR,11.0
1932-APR,12.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,594.0
1932-AUG,309.0
1932-SEP,25.0
1932-OCT,127.0
1932-NOV,0.0
1932-DEC,182.0
1933-JAN,83.0
1933-FEB,17.0
1933-MAR,0.0
1933-APR,12.0
1933-MAY,0.0
1933-JUN,14.0
1933-JUL,254.0
1933-AUG,185.0
1933-SEP,172.0
1933-OCT,61.0
1933-NOV,115.0
1933-DEC,18.0
1934-JAN,67.0
1934-FEB,99.0
1934-MAR,23.0
1934-APR,0.0
1934-MAY,9.0
1934-JUN,47.0
1934-JUL,202.0
1934-AUG,290.0
1934-SEP,48.0
1934-OCT,0.0
1934-NOV,73.0
1934-DEC,226.0
1935-JAN,166.0
1935-FEB,130.0
1935-MAR,168.0
1935-APR,0.0
1935-MAY,8.0
1935-JUN,0.0
1935-JUL,151.0
1935-AUG,587.0
1935-SEP,217.0
1935-OCT,0.0
1935-NOV,248.0
1935-DEC,130.0
1936-JAN,60.0
1936-FEB,171.0
1936-MAR,64.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,5.0
1936-JUL,372.0
1936-AUG,230.0
1936-SEP,135.0
1936-OCT,19.0
1936-NOV,88.0
1936-DEC,136.0
1937-JAN,149.0
1937-FEB,151.0
1937-MAR,79.0
