date,precip
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,4.1
1972-APR,0.0
1972-MAY,8.0
1972-JUN,107.0
1972-JUL,267.0
1972-AUG,218.0
1972-SEP,41.0
1972-OCT,361.0
1972-NOV,144.0
1972-DEC,61.0
1973-JAN,49.0
1973-FEB,95.0
1973-MAR,312.0
1973-APR,0.0
1973-MAY,0.0
1973-JUN,73.0
1973-JUL,179.0
1973-AUG,180.0
1973-SEP,27.0
1973-OCT,0.0
1973-NOV,63.0
1973-DEC,0.0
1974-JAN,140.0
1974-FEB,1.0
1974-MAR,32.0
1974-APR,0.0
1974-MAY,3.0
1974-JUN,9.0
1974-JUL,440.0
1974-AUG,237.0
1974-SEP,135.0
1974-OCT,234.0
1974-NOV,62.0
1974-DEC,34.0
1975-JAN,57.0
1975-FEB,16.0
1975-MAR,135.0
1975-APR,38.0
1975-MAY,2.0
1975-JUN,0.0
1975-JUL,325.0
1975-AUG,55.0
1975-SEP,110.0
1975-OCT,0.0
1975-NOV,65.0
1975-DEC,27.0
1976-JAN,8.0
1976-FEB,62.0
1976-MAR,59.0
1976-APR,69.0
1976-MAY,28.0
1976-JUN,23.0
1976-JUL,23.0
1976-AUG,181.0
1976-SEP,128.0
1976-OCT,41.0
1976-NOV,54.0
1976-DEC,19.0
1977-JAN,255.0
1977-FEB,25.0
1977-MAR,80.0
1977-APR,35.0
1977-MAY,5.0
1977-JUN,34.0
1977-JUL,162.0
1977-AUG,256.0
1977-SEP,209.0
1977-OCT,224.0
1977-NOV,20.0
1977-DEC,135.0
1978-JAN,185.0
1978-FEB,180.0
1978-MAR,100.0
1978-APR,20.0
1978-MAY,75.0
1978-JUN,15.0
1978-JUL,215.0
1978-AUG,95.0
1978-SEP,70.0
1978-OCT,280.0
1978-NOV,205.0
1978-DEC,160.0
1979-JAN,230.0
1979-FEB,20.0
1979-MAR,0.0
1979-APR,0.0
1979-MAY,0.0
1979-JUN,0.0
1979-JUL,0.0
1979-AUG,160.0
1979-SEP,5.0
1979-OCT,10.0
1979-NOV,10.0
1979-DEC,28.0
1980-JAN,39.0
1980-FEB,275.0
1980-MAR,138.0
1980-APR,0.0
1980-MAY,0.0
1980-JUN,94.0
1980-JUL,118.0
1980-AUG,320.0
1980-SEP,186.0
1980-OCT,9.0
1980-NOV,6.0
1980-DEC,14.0
1981-JAN,103.0
1981-FEB,65.0
1981-MAR,198.0
1981-APR,23.0
1981-MAY,16.0
1981-JUN,61.0
1981-JUL,433.0
1981-AUG,85.0
1981-SEP,195.0
1981-OCT,29.0
1981-NOV,48.0
1981-DEC,0.0
1982-JAN,108.0
1982-FEB,104.0
1982-MAR,72.0
1982-APR,2.0
1982-MAY,23.0
1982-JUN,8.0
1982-JUL,317.0
1982-AUG,394.0
1982-SEP,274.0
1982-OCT,0.0
1982-NOV,170.0
1982-DEC,88.0
