date,precip
1923-JAN,0.0
1923-FEB,47.0
1923-MAR,87.0
1923-APR,66.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,784.0
1923-AUG,636.0
1923-SEP,33.0
1923-OCT,0.0
1923-NOV,619.0
1923-DEC,360.0
1924-JAN,30.0
1924-FEB,1.0
1924-MAR,372.0
1924-APR,135.0
1924-MAY,0.0
1924-JUN,20.0
1924-JUL,277.0
1924-AUG,227.0
1924-SEP,9.0
1924-OCT,3.0
1924-NOV,33.0
1924-DEC,147.0
1925-JAN,16.0
1925-FEB,0.0
1925-MAR,68.0
1925-APR,58.0
1925-MAY,26.0
1925-JUN,201.0
1925-JUL,504.0
1925-AUG,72.0
1925-SEP,83.0
1925-OCT,174.0
1925-NOV,185.0
1925-DEC,80.0
1926-JAN,209.0
1926-FEB,119.0
1926-MAR,236.0
1926-APR,169.0
1926-MAY,57.0
1926-JUN,33.0
1926-JUL,396.0
1926-AUG,217.0
1926-SEP,595.0
1926-OCT,86.0
1926-NOV,0.0
1926-DEC,452.0
1927-JAN,23.0
1927-FEB,169.0
1927-MAR,185.0
1927-APR,73.0
1927-MAY,22.0
1927-JUN,89.0
1927-JUL,300.0
1927-AUG,384.0
1927-SEP,241.0
1927-OCT,18.0
1927-NOV,35.0
1927-DEC,290.0
1928-JAN,11.0
1928-FEB,326.0
1928-MAR,0.0
1928-APR,20.0
1928-MAY,47.0
1928-JUN,2.0
1928-JUL,424.0
1928-AUG,258.0
1928-SEP,44.0
1928-OCT,151.0
1928-NOV,82.0
1928-DEC,62.0
1929-JAN,131.0
1929-FEB,199.0
1929-MAR,121.0
1929-APR,47.0
1929-MAY,28.0
1929-JUN,105.0
1929-JUL,993.0
1929-AUG,363.0
1929-SEP,385.0
1929-OCT,36.0
1929-NOV,18.0
1929-DEC,52.0
1930-JAN,374.0
1930-FEB,105.0
1930-MAR,397.0
1930-APR,16.0
1930-MAY,179.0
1930-JUN,322.0
1930-JUL,439.0
1930-AUG,401.0
1930-SEP,36.0
1930-OCT,30.0
1930-NOV,398.0
1930-DEC,67.0
1931-JAN,149.0
1931-FEB,544.0
1931-MAR,0.0
1931-APR,119.0
1931-MAY,11.0
1931-JUN,318.0
1931-JUL,302.0
1931-AUG,1127.0
1931-SEP,619.0
1931-OCT,20.0
1931-NOV,464.0
1931-DEC,148.0
1932-JAN,165.0
1932-FEB,337.0
1932-MAR,44.0
1932-APR,53.0
1932-MAY,0.0
1932-JUN,69.0
1932-JUL,657.0
1932-AUG,393.0
1932-SEP,53.0
1932-OCT,207.0
1932-NOV,0.0
1932-DEC,193.0
1933-JAN,154.0
1933-FEB,73.0
1933-MAR,0.0
1933-APR,40.0
1933-MAY,0.0
1933-JUN,38.0
1933-JUL,423.0
1933-AUG,221.0
1933-SEP,170.0
1933-OCT,63.0
1933-NOV,203.0
1933-DEC,25.0
1934-JAN,72.0
1934-FEB,115.0
1934-MAR,56.0
1934-APR,4.0
1934-MAY,25.0
1934-JUN,42.0
1934-JUL,211.0
1934-AUG,679.0
1934-SEP,91.0
1934-OCT,1.0
1934-NOV,89.0
1934-DEC,302.0
1935-JAN,272.0
1935-FEB,224.0
1935-MAR,264.0
1935-APR,0.0
1935-MAY,26.0
1935-JUN,2.0
1935-JUL,288.0
1935-AUG,871.0
1935-SEP,245.0
1935-OCT,0.0
1935-NOV,277.0
1935-DEC,182.0
1936-JAN,89.0
1936-FEB,187.0
1936-MAR,149.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,26.0
1936-JUL,356.0
1936-AUG,245.0
1936-SEP,260.0
1936-OCT,26.0
1936-NOV,196.0
1936-DEC,258.0
1937-JAN,283.0
1937-FEB,221.0
1937-MAR,144.0
1937-APR,6.0
1937-MAY,12.0
1937-JUN,31.0
1937-JUL,409.0
1937-AUG,589.0
1937-SEP,176.0
1937-OCT,60.0
1937-NOV,0.0
1937-DEC,160.0
1938-JAN,95.0
1938-FEB,193.0
1938-MAR,216.0
1938-APR,18.0
1938-MAY,20.0
1938-JUN,304.0
1938-JUL,414.0
1938-AUG,452.0
1938-SEP,209.0
1938-OCT,12.0
1938-NOV,15.0
1938-DEC,80.0
1939-JAN,148.0
1939-FEB,235.0
1939-MAR,34.0
1939-APR,65.0
1939-MAY,0.0
1939-JUN,7.0
1939-JUL,209.0
1939-AUG,432.0
1939-SEP,228.0
1939-OCT,82.0
1939-NOV,202.0
1939-DEC,88.0
1940-JAN,70.0
