date,precip
1923-JAN,0.0
1923-FEB,62.0
1923-MAR,124.0
1923-APR,74.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,731.0
1923-AUG,734.0
1923-SEP,46.0
1923-OCT,0.0
1923-NOV,495.0
1923-DEC,305.0
1924-JAN,12.0
1924-FEB,0.0
1924-MAR,316.0
1924-APR,97.0
1924-MAY,0.0
1924-JUN,20.0
1924-JUL,149.0
1924-AUG,201.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,27.0
1924-DEC,147.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,48.0
1925-APR,49.0
1925-MAY,0.0
1925-JUN,234.0
1925-JUL,172.0
1925-AUG,177.0
1925-SEP,85.0
1925-OCT,143.0
1925-NOV,172.0
1925-DEC,84.0
1926-JAN,164.0
1926-FEB,97.0
1926-MAR,203.0
1926-APR,143.0
1926-MAY,41.0
1926-JUN,22.0
1926-JUL,347.0
1926-AUG,225.0
1926-SEP,499.0
1926-OCT,149.0
1926-NOV,0.0
1926-DEC,338.0
1927-JAN,22.0
1927-FEB,155.0
1927-MAR,148.0
1927-APR,56.0
1927-MAY,30.0
1927-JUN,52.0
1927-JUL,238.0
1927-AUG,327.0
1927-SEP,209.0
1927-OCT,18.0
1927-NOV,31.0
1927-DEC,232.0
1928-JAN,5.0
1928-FEB,277.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,5.0
1928-JUN,0.0
1928-JUL,308.0
1928-AUG,197.0
1928-SEP,51.0
1928-OCT,112.0
1928-NOV,59.0
1928-DEC,67.0
1929-JAN,91.0
1929-FEB,157.0
1929-MAR,103.0
1929-APR,48.0
1929-MAY,10.0
1929-JUN,94.0
1929-JUL,693.0
1929-AUG,316.0
1929-SEP,304.0
1929-OCT,16.0
1929-NOV,11.0
1929-DEC,47.0
1930-JAN,249.0
1930-FEB,87.0
1930-MAR,244.0
1930-APR,12.0
1930-MAY,129.0
1930-JUN,243.0
1930-JUL,353.0
1930-AUG,324.0
1930-SEP,31.0
1930-OCT,20.0
1930-NOV,285.0
1930-DEC,122.0
1931-JAN,135.0
1931-FEB,413.0
1931-MAR,0.0
1931-APR,154.0
1931-MAY,16.0
1931-JUN,276.0
1931-JUL,237.0
1931-AUG,1162.0
1931-SEP,477.0
1931-OCT,8.0
1931-NOV,390.0
1931-DEC,129.0
1932-JAN,127.0
1932-FEB,292.0
1932-MAR,20.0
1932-APR,35.0
1932-MAY,0.0
1932-JUN,50.0
1932-JUL,517.0
1932-AUG,345.0
1932-SEP,44.0
1932-OCT,207.0
1932-NOV,0.0
1932-DEC,200.0
1933-JAN,131.0
1933-FEB,42.0
1933-MAR,0.0
1933-APR,26.0
1933-MAY,0.0
1933-JUN,53.0
1933-JUL,414.0
1933-AUG,229.0
1933-SEP,163.0
1933-OCT,62.0
1933-NOV,176.0
1933-DEC,20.0
1934-JAN,84.0
1934-FEB,98.0
1934-MAR,51.0
1934-APR,1.0
1934-MAY,7.0
1934-JUN,52.0
1934-JUL,185.0
1934-AUG,607.0
1934-SEP,90.0
1934-OCT,0.0
1934-NOV,84.0
1934-DEC,280.0
1935-JAN,236.0
1935-FEB,168.0
1935-MAR,216.0
1935-APR,0.0
1935-MAY,18.0
1935-JUN,0.0
1935-JUL,169.0
1935-AUG,804.0
1935-SEP,261.0
1935-OCT,0.0
1935-NOV,265.0
1935-DEC,175.0
1936-JAN,73.0
1936-FEB,161.0
1936-MAR,123.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,19.0
1936-JUL,346.0
1936-AUG,230.0
1936-SEP,247.0
1936-OCT,24.0
1936-NOV,143.0
1936-DEC,172.0
1937-JAN,223.0
1937-FEB,204.0
1937-MAR,110.0
1937-APR,6.0
1937-MAY,7.0
1937-JUN,22.0
1937-JUL,367.0
1937-AUG,435.0
1937-SEP,149.0
1937-OCT,48.0
1937-NOV,0.0
1937-DEC,136.0
1938-JAN,88.0
1938-FEB,155.0
1938-MAR,147.0
1938-APR,13.0
1938-MAY,0.0
1938-JUN,261.0
1938-JUL,442.0
1938-AUG,409.0
1938-SEP,155.0
1938-OCT,0.0
1938-NOV,18.0
1938-DEC,69.0
1939-JAN,124.0
1939-FEB,179.0
1939-MAR,27.0
1939-APR,51.0
1939-MAY,0.0
1939-JUN,1.0
1939-JUL,189.0
1939-AUG,389.0
1939-SEP,208.0
1939-OCT,109.0
1939-NOV,160.0
1939-DEC,74.0
1940-JAN,20.0
1940-FEB,275.0
1940-MAR,12.0
1940-APR,41.0
1940-MAY,20.0
1940-JUN,257.0
1940-JUL,203.0
1940-AUG,258.0
1940-SEP,470.0
1940-OCT,72.0
1940-NOV,113.0
1940-DEC,243.0
1941-JAN,182.0
1941-FEB,176.0
1941-MAR,133.0
1941-APR,177.0
1941-MAY,75.0
1941-JUN,0.0
1941-JUL,372.0
1941-AUG,207.0
1941-SEP,275.0
1941-OCT,146.0
1941-NOV,27.0
1941-DEC,217.0
1942-JAN,117.0
1942-FEB,151.0
1942-MAR,24.0
1942-APR,128.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,235.0
1942-AUG,317.0
1942-SEP,329.0
1942-OCT,116.0
1942-NOV,0.0
1942-DEC,16.0
1943-JAN,191.0
1943-FEB,14.0
1943-MAR,95.0
1943-APR,0.0
1943-MAY,3.0
1943-JUN,9.0
1943-JUL,275.0
1943-AUG,548.0
1943-SEP,234.0
1943-OCT,116.0
1943-NOV,0.0
1943-DEC,84.0
1944-JAN,86.0
1944-FEB,188.0
1944-MAR,182.0
1944-APR,36.0
1944-MAY,10.0
1944-JUN,27.0
1944-JUL,278.0
1944-AUG,310.0
1944-SEP,154.0
1944-OCT,134.0
1944-NOV,290.0
1944-DEC,187.0
1945-JAN,88.0
1945-FEB,21.0
1945-MAR,97.0
1945-APR,46.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,339.0
1945-AUG,578.0
1945-SEP,36.0
1945-OCT,150.0
1945-NOV,
1945-DEC,56.0
1946-JAN,376.0
1946-FEB,11.0
1946-MAR,51.0
1946-APR,39.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,468.0
1946-AUG,431.0
1946-SEP,333.0
1946-OCT,51.0
1946-NOV,139.0
1946-DEC,71.0
1947-JAN,28.0
1947-FEB,21.0
1947-MAR,31.0
1947-APR,17.0
1947-MAY,19.0
1947-JUN,0.0
1947-JUL,175.0
1947-AUG,281.0
1947-SEP,111.0
1947-OCT,47.0
1947-NOV,136.0
1947-DEC,132.0
1948-JAN,0.0
1948-FEB,261.0
1948-MAR,42.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,13.0
1948-JUL,280.0
1948-AUG,185.0
1948-SEP,189.0
1948-OCT,108.0
1948-NOV,0.0
1948-DEC,150.0
1949-JAN,257.0
1949-FEB,103.0
1949-MAR,18.0
1949-APR,11.0
1949-MAY,0.0
1949-JUN,8.0
1949-JUL,419.0
1949-AUG,204.0
1949-SEP,144.0
1949-OCT,72.0
1949-NOV,0.0
1949-DEC,168.0
1950-JAN,48.0
1950-FEB,151.0
1950-MAR,20.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,56.0
1950-JUL,765.0
1950-AUG,181.0
