date,precip
1930-JAN,210.75
1930-FEB,98.625
1930-MAR,250.4375
1930-APR,15.25
1930-MAY,117.6875
1930-JUN,215.375
1930-JUL,290.3125
1930-AUG,268.3125
1930-SEP,14.625
1930-OCT,10.266666666666667
1930-NOV,253.6875
1930-DEC,5.0
1931-JAN,52.0
1931-FEB,308.0
1931-MAR,2.5625
1931-APR,75.3125
1931-MAY,12.0
1931-JUN,185.5
1931-JUL,255.05882352941177
1931-AUG,1041.1176470588234
1931-SEP,269.4117647058824
1931-OCT,20.0
1931-NOV,172.0
1931-DEC,31.0
1932-JAN,101.0
1932-FEB,162.0
1932-MAR,12.0
1932-APR,2.0
1932-MAY,0.0
1932-JUN,41.0
1932-JUL,486.0
1932-AUG,100.0
1932-SEP,18.0
1932-OCT,146.0
1932-NOV,0.0
1932-DEC,199.0
1933-JAN,79.0
1933-FEB,26.0
1933-MAR,0.0
1933-APR,9.0
1933-MAY,0.0
1933-JUN,21.0
1933-JUL,283.0
1933-AUG,257.0
1933-SEP,235.0
1933-OCT,46.0
1933-NOV,88.0
1933-DEC,24.0
1934-JAN,49.0
1934-FEB,70.0
1934-MAR,33.0
1934-APR,7.0
1934-MAY,4.0
1934-JUN,30.0
1934-JUL,208.0
1934-AUG,184.0
1934-SEP,42.0
1934-OCT,0.0
1934-NOV,74.0
1934-DEC,224.0
1935-JAN,128.0
1935-FEB,113.0
1935-MAR,159.0
1935-APR,0.0
1935-MAY,12.0
1935-JUN,0.0
1935-JUL,163.0
1935-AUG,712.0
1935-SEP,153.0
1935-OCT,0.0
1935-NOV,169.0
1935-DEC,129.0
1936-JAN,75.0
1936-FEB,116.0
1936-MAR,34.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,30.0
1936-JUL,273.0
1936-AUG,196.0
1936-SEP,111.0
1936-OCT,37.0
1936-NOV,105.0
1936-DEC,79.0
1937-JAN,162.0
1937-FEB,97.0
1937-MAR,92.0
1937-APR,0.0
1937-MAY,26.0
1937-JUN,29.0
1937-JUL,510.0
1937-AUG,225.0
1937-SEP,152.0
1937-OCT,27.0
1937-NOV,0.0
1937-DEC,66.0
1938-JAN,68.0
1938-FEB,97.0
1938-MAR,66.0
1938-APR,1.0
1938-MAY,14.0
1938-JUN,244.0
1938-JUL,129.0
1938-AUG,430.0
1938-SEP,57.0
1938-OCT,0.0
1938-NOV,5.0
1938-DEC,75.0
1939-JAN,38.0
1939-FEB,120.0
1939-MAR,17.0
1939-APR,24.0
1939-MAY,0.0
1939-JUN,23.0
1939-JUL,295.0
1939-AUG,416.0
1939-SEP,156.0
1939-OCT,56.0
1939-NOV,26.0
1939-DEC,62.0
1940-JAN,11.0
1940-FEB,180.0
1940-MAR,4.0
1940-APR,22.0
1940-MAY,23.0
1940-JUN,284.0
1940-JUL,279.0
1940-AUG,350.0
1940-SEP,256.0
1940-OCT,76.0
1940-NOV,48.0
1940-DEC,263.0
1941-JAN,68.0
1941-FEB,168.0
1941-MAR,85.0
1941-APR,155.0
1941-MAY,78.0
1941-JUN,0.0
1941-JUL,188.0
1941-AUG,275.0
1941-SEP,216.0
1941-OCT,90.0
1941-NOV,36.0
1941-DEC,199.0
1942-JAN,100.0
1942-FEB,106.0
1942-MAR,20.0
1942-APR,64.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,311.0
1942-AUG,370.0
1942-SEP,63.0
1942-OCT,38.0
1942-NOV,0.0
1942-DEC,18.0
1943-JAN,117.0
1943-FEB,6.0
1943-MAR,85.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,9.0
1943-JUL,306.0
1943-AUG,434.0
1943-SEP,85.0
1943-OCT,19.0
1943-NOV,0.0
1943-DEC,90.0
1944-JAN,64.0
1944-FEB,133.0
1944-MAR,111.0
1944-APR,14.0
1944-MAY,25.0
1944-JUN,0.0
1944-JUL,121.0
1944-AUG,262.0
1944-SEP,118.0
1944-OCT,124.0
1944-NOV,225.0
1944-DEC,149.0
1945-JAN,50.0
1945-FEB,12.0
1945-MAR,72.0
1945-APR,17.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,373.0
1945-AUG,417.0
1945-SEP,71.0
1945-OCT,113.0
1945-NOV,
1945-DEC,47.0
1946-JAN,194.0
1946-FEB,12.0
1946-MAR,23.0
1946-APR,11.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,202.0
1946-AUG,427.0
1946-SEP,367.0
1946-OCT,43.0
1946-NOV,91.0
1946-DEC,48.0
1947-JAN,16.0
1947-FEB,2.0
1947-MAR,22.0
1947-APR,0.0
1947-MAY,53.0
1947-JUN,50.0
1947-JUL,37.0
1947-AUG,270.0
1947-SEP,101.0
1947-OCT,48.0
1947-NOV,71.0
1947-DEC,80.0
1948-JAN,0.0
1948-FEB,184.0
1948-MAR,26.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,12.0
1948-JUL,395.0
1948-AUG,229.0
1948-SEP,74.0
1948-OCT,86.0
1948-NOV,0.0
1948-DEC,76.0
1949-JAN,183.0
1949-FEB,49.0
1949-MAR,23.0
1949-APR,6.0
1949-MAY,0.0
1949-JUN,17.75
1949-JUL,125.0
1949-AUG,142.0
1949-SEP,45.0
1949-OCT,54.0
1949-NOV,0.0
1949-DEC,135.0
1950-JAN,31.0
1950-FEB,127.0
1950-MAR,1.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,0.0
1950-JUL,712.0
1950-AUG,98.0
1950-SEP,91.0
1950-OCT,0.0
1950-NOV,0.0
1950-DEC,0.0
1951-JAN,176.0
1951-FEB,24.0
1951-MAR,0.0
1951-APR,145.0
1951-MAY,0.0
1951-JUN,0.0
1951-JUL,222.0
1951-AUG,294.0
1951-SEP,42.0
1951-OCT,281.0
1951-NOV,120.0
1951-DEC,132.0
1952-JAN,41.0
1952-FEB,0.0
1952-MAR,164.0
1952-APR,132.0
1952-MAY,0.0
1952-JUN,113.0
1952-JUL,80.0
1952-AUG,111.0
1952-SEP,150.0
1952-OCT,0.0
1952-NOV,168.0
1952-DEC,28.0
1953-JAN,0.6666666666666666
