date,precip
1923-JAN,0.0
1923-FEB,53.0
1923-MAR,53.0
1923-APR,7.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,453.0
1923-AUG,463.0
1923-SEP,26.0
1923-OCT,0.0
1923-NOV,351.0
1923-DEC,192.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,297.0
1924-APR,52.0
1924-MAY,0.0
1924-JUN,11.0
1924-JUL,442.0
1924-AUG,134.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,30.0
1924-DEC,132.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,10.0
1925-APR,34.0
1925-MAY,0.0
1925-JUN,105.0
1925-JUL,172.0
1925-AUG,424.0
1925-SEP,171.0
1925-OCT,148.0
1925-NOV,181.0
1925-DEC,55.0
1926-JAN,144.0
1926-FEB,116.0
1926-MAR,262.0
1926-APR,151.0
1926-MAY,6.0
1926-JUN,6.0
1926-JUL,395.0
1926-AUG,126.0
1926-SEP,424.0
1926-OCT,170.0
1926-NOV,0.0
1926-DEC,270.0
1927-JAN,18.0
1927-FEB,110.0
1927-MAR,121.0
1927-APR,83.0
1927-MAY,0.0
1927-JUN,27.0
1927-JUL,173.0
1927-AUG,444.0
1927-SEP,527.0
1927-OCT,12.0
1927-NOV,26.0
1927-DEC,229.0
1928-JAN,0.0
1928-FEB,184.0
1928-MAR,0.0
1928-APR,15.0
1928-MAY,14.0
1928-JUN,0.0
1928-JUL,224.0
1928-AUG,259.0
1928-SEP,188.0
1928-OCT,91.0
1928-NOV,46.0
1928-DEC,58.0
1929-JAN,69.0
1929-FEB,155.0
1929-MAR,97.0
1929-APR,25.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,309.0
1929-AUG,350.0
1929-SEP,348.0
1929-OCT,0.0
1929-NOV,12.0
1929-DEC,31.0
1930-JAN,206.0
1930-FEB,118.0
1930-MAR,212.0
1930-APR,11.0
1930-MAY,103.0
1930-JUN,207.0
1930-JUL,318.0
1930-AUG,328.0
1930-SEP,57.0
1930-OCT,12.0
1930-NOV,245.0
1930-DEC,75.0
1931-JAN,130.0
1931-FEB,280.0
1931-MAR,7.0
1931-APR,60.0
1931-MAY,5.0
1931-JUN,230.0
1931-JUL,201.0
1931-AUG,1105.0
1931-SEP,220.0
1931-OCT,65.0
1931-NOV,236.0
1931-DEC,81.0
1932-JAN,125.0
1932-FEB,230.0
1932-MAR,33.0
1932-APR,19.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,637.0
1932-AUG,274.0
1932-SEP,50.0
1932-OCT,130.0
1932-NOV,0.0
1932-DEC,195.0
1933-JAN,94.0
1933-FEB,30.0
1933-MAR,0.0
1933-APR,14.0
1933-MAY,0.0
1933-JUN,17.0
1933-JUL,178.0
1933-AUG,170.0
1933-SEP,164.0
1933-OCT,46.0
1933-NOV,108.0
1933-DEC,21.0
1934-JAN,43.0
1934-FEB,118.0
1934-MAR,32.0
1934-APR,9.0
1934-MAY,12.0
1934-JUN,36.0
