date,precip
1939-JAN,72.025
1939-FEB,136.825
1939-MAR,31.35
1939-APR,37.2
1939-MAY,0.0
1939-JUN,7.725
1939-JUL,231.0
1939-AUG,240.0
1939-SEP,144.0
1939-OCT,38.0
1939-NOV,16.0
1939-DEC,43.0
1940-JAN,9.0
1940-FEB,185.0
1940-MAR,0.0
1940-APR,12.0
1940-MAY,22.0
1940-JUN,230.0
1940-JUL,127.0
1940-AUG,259.0
1940-SEP,220.0
1940-OCT,56.0
1940-NOV,73.0
1940-DEC,252.0
1941-JAN,70.0
1941-FEB,147.0
1941-MAR,102.0
1941-APR,115.0
1941-MAY,33.0
1941-JUN,0.0
1941-JUL,228.0
1941-AUG,207.0
1941-SEP,225.0
1941-OCT,65.0
1941-NOV,19.0
1941-DEC,187.0
1942-JAN,82.0
1942-FEB,102.0
1942-MAR,16.0
1942-APR,86.16216216216216
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,290.0
1942-AUG,219.0
1942-SEP,41.0
1942-OCT,49.0
1942-NOV,0.0
1942-DEC,10.0
1943-JAN,82.0
1943-FEB,6.0
1943-MAR,103.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,20.0
1943-JUL,226.0
1943-AUG,375.0
1943-SEP,139.0
1943-OCT,34.0
1943-NOV,0.0
1943-DEC,72.0
1944-JAN,62.0
1944-FEB,140.0
1944-MAR,94.0
1944-APR,0.0
1944-MAY,0.0
1944-JUN,0.0
1944-JUL,112.0
1944-AUG,334.0
1944-SEP,184.0
1944-OCT,119.0
1944-NOV,192.0
1944-DEC,137.0
1945-JAN,49.0
1945-FEB,15.0
1945-MAR,64.0
1945-APR,6.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,337.0
1945-AUG,395.0
1945-SEP,48.0
1945-OCT,138.0
1945-NOV,
1945-DEC,60.0
1946-JAN,190.0
1946-FEB,0.0
1946-MAR,28.0
1946-APR,0.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,207.0
1946-AUG,437.0
1946-SEP,308.0
1946-OCT,29.0
1946-NOV,88.0
1946-DEC,42.0
1947-JAN,34.0
1947-FEB,2.0
1947-MAR,27.0
1947-APR,0.0
1947-MAY,51.0
1947-JUN,76.0
1947-JUL,114.0
1947-AUG,103.0
1947-SEP,74.0
1947-OCT,48.0
1947-NOV,74.0
1947-DEC,88.0
1948-JAN,0.0
1948-FEB,208.0
1948-MAR,29.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,13.0
1948-JUL,384.0
1948-AUG,136.0
1948-SEP,45.0
1948-OCT,64.0
1948-NOV,0.0
1948-DEC,78.0
1949-JAN,162.0
1949-FEB,34.0
1949-MAR,18.0
1949-APR,0.0
1949-MAY,0.0
1949-JUN,38.0
1949-JUL,212.0
1949-AUG,142.0
1949-SEP,158.0
1949-OCT,56.0
1949-NOV,0.0
1949-DEC,144.0
1950-JAN,34.0
1950-FEB,113.0
1950-MAR,0.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,0.0
1950-JUL,926.0
1950-AUG,47.0
1950-SEP,41.26086956521739
1950-OCT,0.238095238095238
1950-NOV,0.0
1950-DEC,0.0
