date,precip
1971-JAN,0.0
1971-FEB,113.44444444444444
1971-MAR,2.6296296296296298
1971-APR,53.7037037037037
1971-MAY,4.25925925925926
1971-JUN,5.444444444444445
1971-JUL,265.0
1971-AUG,381.0
1971-SEP,241.0
1971-OCT,233.0
1971-NOV,99.0
1971-DEC,286.0
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,4.0
1972-APR,0.0
1972-MAY,23.0
1972-JUN,102.0
1972-JUL,253.0
1972-AUG,128.0
1972-SEP,27.0
1972-OCT,368.0
1972-NOV,119.0
1972-DEC,60.0
1973-JAN,72.0
1973-FEB,114.0
1973-MAR,345.0
1973-APR,0.0
1973-MAY,0.0
1973-JUN,59.0
1973-JUL,222.0
1973-AUG,48.0
1973-SEP,8.0
1973-OCT,0.0
1973-NOV,54.0
1973-DEC,0.0
1974-JAN,155.0
1974-FEB,0.0
1974-MAR,66.0
1974-APR,0.0
1974-MAY,2.0
1974-JUN,3.0
1974-JUL,1038.0
1974-AUG,223.0
1974-SEP,98.0
1974-OCT,258.0
1974-NOV,20.0
1974-DEC,35.0
1975-JAN,55.0
1975-FEB,25.0
1975-MAR,158.0
1975-APR,79.0
1975-MAY,0.0
1975-JUN,0.0
1975-JUL,382.0
1975-AUG,274.0
1975-SEP,178.0
1975-OCT,0.0
1975-NOV,74.0
1975-DEC,80.0
1976-JAN,17.0
1976-FEB,78.0
1976-MAR,55.0
1976-APR,85.0
1976-MAY,9.0
1976-JUN,1.0
1976-JUL,656.0
1976-AUG,48.0
1976-SEP,131.0
1976-OCT,41.0
1976-NOV,53.0
1976-DEC,25.0
1977-JAN,254.0
1977-FEB,9.0
1977-MAR,103.0
1977-APR,30.0
1977-MAY,15.0
1977-JUN,74.0
1977-JUL,202.0
1977-AUG,255.0
1977-SEP,169.0
1977-OCT,290.0
1977-NOV,35.0
1977-DEC,120.0
1978-JAN,240.0
1978-FEB,195.0
1978-MAR,180.0
1978-APR,35.0
1978-MAY,15.0
1978-JUN,20.0
1978-JUL,321.0
1978-AUG,105.0
1978-SEP,100.0
1978-OCT,360.0
1978-NOV,140.0
1978-DEC,298.0
1979-JAN,150.0
1979-FEB,55.0
1979-MAR,0.0
1979-APR,0.0
1979-MAY,77.0
1979-JUN,60.0
1979-JUL,148.0
1979-AUG,512.0
1979-SEP,22.0
1979-OCT,22.0
1979-NOV,22.0
1979-DEC,16.0
1980-JAN,77.0
1980-FEB,237.0
1980-MAR,189.0
1980-APR,15.0
1980-MAY,0.0
1980-JUN,5.0
1980-JUL,383.0
1980-AUG,367.0
1980-SEP,302.0
1980-OCT,7.0
1980-NOV,8.2
1980-DEC,19.0
1981-JAN,116.0
1981-FEB,158.0
1981-MAR,161.0
1981-APR,20.0
1981-MAY,36.0
1981-JUN,117.0
1981-JUL,660.0
1981-AUG,41.0
1981-SEP,240.0
1981-OCT,103.0
1981-NOV,73.0
1981-DEC,0.0
1982-JAN,122.0
1982-FEB,48.0
1982-MAR,142.0
1982-APR,3.0
1982-MAY,46.0
1982-JUN,0.0
1982-JUL,255.0
1982-AUG,286.0
1982-SEP,286.0
1982-OCT,0.0
1982-NOV,68.0
1982-DEC,277.0
1983-JAN,262.0
1983-FEB,132.0
1983-MAR,195.0
1983-APR,81.0
1983-MAY,21.0
1983-JUN,6.0
1983-JUL,217.0
1983-AUG,366.0
1983-SEP,677.0
1983-OCT,270.0
1983-NOV,213.0
1983-DEC,32.0
1984-JAN,136.0
1984-FEB,0.0
1984-MAR,0.0
1984-APR,91.0
1984-MAY,13.0
1984-JUN,106.0
1984-JUL,682.0
1984-AUG,520.0
1984-SEP,380.0
1984-OCT,116.0
1984-NOV,57.0
1984-DEC,392.0
1985-JAN,263.0
1985-FEB,109.0
1985-MAR,36.0
1985-APR,80.0
1985-MAY,6.0
1985-JUN,27.0
1985-JUL,393.0
1985-AUG,102.0
1985-SEP,182.0
1985-OCT,299.0
1985-NOV,93.0
1985-DEC,25.0
1986-JAN,0.0
1986-FEB,187.0
1986-MAR,66.0
1986-APR,0.0
1986-MAY,60.0
1986-JUN,48.0
1986-JUL,228.0
1986-AUG,488.0
1986-SEP,61.0
1986-OCT,57.0
1986-NOV,23.0
1986-DEC,161.0
1987-JAN,56.0
1987-FEB,167.0
1987-MAR,41.0
1987-APR,107.0
1987-MAY,186.0
1987-JUN,0.0
1987-JUL,216.0
1987-AUG,509.0
1987-SEP,158.0
1987-OCT,60.0
1987-NOV,81.0
1987-DEC,260.0
1988-JAN,123.0
1988-FEB,53.0
1988-MAR,19.0
1988-APR,124.0
1988-MAY,0.0
1988-JUN,85.0
1988-JUL,689.0
1988-AUG,283.0
1988-SEP,4.0
1988-OCT,405.0
1988-NOV,57.0
1988-DEC,52.0
1989-JAN,150.0
1989-FEB,62.0
1989-MAR,97.0
1989-APR,0.0
1989-MAY,3.0
1989-JUN,19.0
1989-JUL,174.0
1989-AUG,116.0
1989-SEP,92.0
1989-OCT,287.0
1989-NOV,19.0
1989-DEC,75.0
1990-JAN,82.0
1990-FEB,112.0
1990-MAR,50.0
1990-APR,20.0
1990-MAY,2.0
1990-JUN,21.0
1990-JUL,1138.0
1990-AUG,315.0
1990-SEP,123.0
1990-OCT,19.0
1990-NOV,66.0
1990-DEC,142.0
1991-JAN,108.0
1991-FEB,201.0
1991-MAR,190.0
1991-APR,0.0
1991-MAY,3.0
1991-JUN,37.0
1991-JUL,199.0
1991-AUG,176.0
1991-SEP,209.0
1991-OCT,26.0
1991-NOV,112.0
1991-DEC,247.0
1992-JAN,127.0
1992-FEB,94.0
1992-MAR,309.0
1992-APR,28.0
1992-MAY,198.0
1992-JUN,0.0
1992-JUL,325.0
1992-AUG,433.0
1992-SEP,169.0
1992-OCT,8.0
1992-NOV,3.0
1992-DEC,392.0
1993-JAN,268.0
1993-FEB,132.0
1993-MAR,88.0
1993-APR,1.0
1993-MAY,14.0
1993-JUN,0.0
1993-JUL,98.0
1993-AUG,391.0
1993-SEP,39.0
1993-OCT,127.0
1993-NOV,138.0
1993-DEC,28.0
1994-JAN,28.0
1994-FEB,94.0
1994-MAR,199.0
1994-APR,11.0
1994-MAY,58.0
1994-JUN,52.0
1994-JUL,96.0
1994-AUG,305.0
1994-SEP,247.0
1994-OCT,79.0
1994-NOV,252.0
1994-DEC,356.0
1995-JAN,72.0
1995-FEB,88.0
1995-MAR,66.0
1995-APR,41.0
1995-MAY,5.0
1995-JUN,0.0
1995-JUL,98.0
1995-AUG,219.0
1995-SEP,194.0
1995-OCT,43.0
1995-NOV,72.0
1995-DEC,56.0
1996-JAN,22.0
1996-FEB,64.0
1996-MAR,20.0
1996-APR,0.0
1996-MAY,0.0
1996-JUN,33.0
1996-JUL,294.0
1996-AUG,265.0
1996-SEP,191.0
1996-OCT,179.0
1996-NOV,39.0
1996-DEC,3.0
1997-JAN,146.0
1997-FEB,118.0
1997-MAR,0.0
1997-APR,14.0
1997-MAY,50.0
1997-JUN,11.0
1997-JUL,138.0
1997-AUG,314.0
1997-SEP,270.0
1997-OCT,30.0
1997-NOV,81.0
