date,precip
1939-JAN,72.025
1939-FEB,136.825
1939-MAR,31.35
1939-APR,37.2
1939-MAY,0.0
1939-JUN,7.725
1939-JUL,84.0
1939-AUG,204.0
1939-SEP,138.0
1939-OCT,104.0
1939-NOV,108.0
1939-DEC,56.0
1940-JAN,8.0
1940-FEB,214.0
1940-MAR,0.0
1940-APR,14.0
1940-MAY,0.0
1940-JUN,184.0
1940-JUL,272.0
1940-AUG,226.0
1940-SEP,414.0
1940-OCT,68.0
1940-NOV,104.0
1940-DEC,298.0
1941-JAN,118.0
1941-FEB,128.0
1941-MAR,146.0
1941-APR,152.0
1941-MAY,22.0
1941-JUN,12.0
1941-JUL,262.0
1941-AUG,138.0
1941-SEP,356.0
1941-OCT,54.0
1941-NOV,8.0
1941-DEC,208.0
1942-JAN,80.0
1942-FEB,124.0
1942-MAR,22.0
1942-APR,124.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,224.0
1942-AUG,212.0
1942-SEP,174.0
1942-OCT,46.0
1942-NOV,0.0
1942-DEC,10.0
1943-JAN,80.0
1943-FEB,6.0
1943-MAR,102.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,8.0
1943-JUL,278.0
1943-AUG,336.0
1943-SEP,188.0
1943-OCT,82.0
1943-NOV,0.0
1943-DEC,68.0
1944-JAN,86.0
1944-FEB,132.0
1944-MAR,116.0
1944-APR,20.0
1944-MAY,0.0
1944-JUN,4.0
1944-JUL,330.0
1944-AUG,400.0
1944-SEP,136.0
1944-OCT,50.0
1944-NOV,230.0
1944-DEC,112.0
1945-JAN,50.0
1945-FEB,22.0
1945-MAR,80.0
1945-APR,40.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,214.0
1945-AUG,422.0
1945-SEP,26.0
1945-OCT,312.0
1945-NOV,
1945-DEC,90.0
1946-JAN,246.0
1946-FEB,4.0
1946-MAR,30.0
1946-APR,8.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,356.0
1946-AUG,477.0
1946-SEP,246.0
1946-OCT,24.0
1946-NOV,102.0
1946-DEC,40.0
1947-JAN,38.0
1947-FEB,4.0
1947-MAR,24.0
1947-APR,0.0
1947-MAY,0.0
1947-JUN,0.0
1947-JUL,52.0
1947-AUG,160.0
1947-SEP,228.0
1947-OCT,18.0
1947-NOV,106.0
1947-DEC,120.0
