date,precip
1946-JAN,258.425
1946-FEB,6.25
1946-MAR,33.175
1946-APR,11.925
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,307.0
1946-AUG,503.0
1946-SEP,279.0
1946-OCT,71.0
1946-NOV,162.0
1946-DEC,55.0
1947-JAN,38.0
1947-FEB,5.0
1947-MAR,29.0
1947-APR,28.0
1947-MAY,45.0
1947-JUN,33.0
1947-JUL,209.0
1947-AUG,228.0
1947-SEP,163.0
1947-OCT,27.0
1947-NOV,86.0
1947-DEC,163.0
1948-JAN,0.0
1948-FEB,211.0
1948-MAR,40.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,12.0
1948-JUL,298.0
1948-AUG,170.0
1948-SEP,155.0
1948-OCT,100.0
1948-NOV,0.0
1948-DEC,146.0
1949-JAN,219.0
1949-FEB,103.0
1949-MAR,27.0
1949-APR,37.0
1949-MAY,0.0
1949-JUN,17.75
1949-JUL,612.0
1949-AUG,408.0
1949-SEP,318.0
1949-OCT,80.0
1949-NOV,0.0
1949-DEC,265.0
1950-JAN,42.0
1950-FEB,206.0
1950-MAR,66.0
1950-APR,0.0
1950-MAY,18.0
1950-JUN,119.0
1950-JUL,827.0
1950-AUG,132.0
1950-SEP,52.0
1950-OCT,0.0
1950-NOV,0.0
1950-DEC,0.0
1951-JAN,273.0
1951-FEB,39.0
1951-MAR,13.0
1951-APR,278.0
1951-MAY,0.0
1951-JUN,0.0
1951-JUL,161.0
1951-AUG,586.0
1951-SEP,69.0
1951-OCT,200.0
1951-NOV,113.0
1951-DEC,233.0
1952-JAN,140.0
1952-FEB,15.0
1952-MAR,325.0
1952-APR,198.0
1952-MAY,0.0
1952-JUN,80.0
1952-JUL,87.0
1952-AUG,278.0
1952-SEP,69.0
1952-OCT,0.0
1952-NOV,293.0
1952-DEC,64.0
1953-JAN,0.6666666666666666
1953-FEB,202.0
1953-MAR,86.0
1953-APR,29.0
1953-MAY,17.0
1953-JUN,77.0
1953-JUL,372.0
1953-AUG,372.0
1953-SEP,0.0
1953-OCT,8.0
1953-NOV,20.0
1953-DEC,12.0
1954-JAN,116.0
1954-FEB,72.0
1954-MAR,328.0
1954-APR,0.0
1954-MAY,80.0
1954-JUN,52.0
1954-JUL,576.0
1954-AUG,387.0
