date,precip
1923-JAN,0.0
1923-FEB,31.0
1923-MAR,37.0
1923-APR,0.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,393.0
1923-AUG,447.0
1923-SEP,208.0
1923-OCT,0.0
1923-NOV,290.0
1923-DEC,151.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,286.0
1924-APR,64.0
1924-MAY,0.0
1924-JUN,10.0
1924-JUL,187.0
1924-AUG,143.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,0.0
1924-DEC,168.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,11.0
1925-APR,47.0
1925-MAY,0.0
1925-JUN,177.0
1925-JUL,192.0
1925-AUG,320.0
1925-SEP,136.0
1925-OCT,137.0
1925-NOV,185.0
1925-DEC,46.0
1926-JAN,126.0
1926-FEB,101.0
1926-MAR,210.0
1926-APR,132.0
1926-MAY,13.0
1926-JUN,5.0
1926-JUL,218.0
1926-AUG,153.0
1926-SEP,423.0
1926-OCT,180.0
1926-NOV,0.0
1926-DEC,209.0
1927-JAN,20.0
1927-FEB,109.0
1927-MAR,100.0
1927-APR,52.0
1927-MAY,0.0
1927-JUN,25.0
1927-JUL,144.0
1927-AUG,302.0
1927-SEP,182.0
1927-OCT,14.0
1927-NOV,22.0
1927-DEC,200.0
1928-JAN,0.0
1928-FEB,181.0
1928-MAR,0.0
1928-APR,8.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,228.0
1928-AUG,199.0
1928-SEP,104.0
1928-OCT,72.0
1928-NOV,69.0
1928-DEC,61.0
1929-JAN,69.0
1929-FEB,129.0
1929-MAR,87.0
1929-APR,19.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,176.0
1929-AUG,175.0
1929-SEP,285.0
1929-OCT,0.0
1929-NOV,10.0
1929-DEC,28.0
1930-JAN,200.0
1930-FEB,86.0
1930-MAR,205.0
1930-APR,6.0
1930-MAY,95.0
1930-JUN,170.0
1930-JUL,219.0
1930-AUG,236.0
1930-SEP,0.0
1930-OCT,0.0
1930-NOV,225.0
1930-DEC,77.0
1931-JAN,112.0
1931-FEB,234.0
1931-MAR,5.0
1931-APR,40.0
1931-MAY,0.0
1931-JUN,85.0
1931-JUL,197.0
1931-AUG,832.0
1931-SEP,156.0
1931-OCT,0.0
1931-NOV,244.0
1931-DEC,61.0
1932-JAN,103.0
1932-FEB,184.0
1932-MAR,15.0
1932-APR,20.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,493.0
1932-AUG,151.0
1932-SEP,18.0
1932-OCT,180.0
1932-NOV,0.0
1932-DEC,174.0
1933-JAN,83.0
1933-FEB,6.0
1933-MAR,0.0
1933-APR,9.0
1933-MAY,0.0
1933-JUN,15.0
1933-JUL,181.0
1933-AUG,93.0
1933-SEP,109.0
1933-OCT,45.0
1933-NOV,89.0
1933-DEC,28.0
1934-JAN,42.0
1934-FEB,82.0
1934-MAR,26.0
1934-APR,0.0
1934-MAY,4.0
1934-JUN,17.0
1934-JUL,258.0
1934-AUG,332.0
1934-SEP,24.0
1934-OCT,0.0
1934-NOV,60.0
1934-DEC,218.0
1935-JAN,154.0
1935-FEB,130.0
1935-MAR,104.0
1935-APR,0.0
1935-MAY,12.0
1935-JUN,0.0
1935-JUL,160.0
1935-AUG,654.0
1935-SEP,129.0
1935-OCT,0.0
1935-NOV,203.0
1935-DEC,126.0
1936-JAN,64.0
1936-FEB,154.0
1936-MAR,56.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,2.0
1936-JUL,535.0
1936-AUG,198.0
1936-SEP,188.0
1936-OCT,22.0
1936-NOV,107.0
1936-DEC,111.0
1937-JAN,187.0
1937-FEB,150.0
1937-MAR,75.0
1937-APR,0.0
1937-MAY,9.0
1937-JUN,85.0
1937-JUL,319.0
1937-AUG,224.0
1937-SEP,104.0
1937-OCT,17.0
1937-NOV,0.0
1937-DEC,139.0
1938-JAN,61.0
1938-FEB,89.0
1938-MAR,77.0
1938-APR,0.0
1938-MAY,0.0
1938-JUN,178.0
1938-JUL,190.0
1938-AUG,244.0
1938-SEP,77.0
1938-OCT,0.0
1938-NOV,4.0
1938-DEC,72.0
1939-JAN,51.0
1939-FEB,127.0
1939-MAR,21.0
1939-APR,49.0
1939-MAY,0.0
1939-JUN,0.0
1939-JUL,271.0
1939-AUG,377.0
1939-SEP,219.0
1939-OCT,63.0
1939-NOV,62.0
1939-DEC,53.0
1940-JAN,11.0
1940-FEB,183.0
1940-MAR,0.0
1940-APR,21.0
1940-MAY,2.0
1940-JUN,205.0
1940-JUL,126.0
1940-AUG,176.0
1940-SEP,227.0
1940-OCT,59.0
1940-NOV,100.0
1940-DEC,310.0
1941-JAN,74.0
1941-FEB,145.0
1941-MAR,144.0
1941-APR,135.0
1941-MAY,40.0
1941-JUN,0.0
1941-JUL,282.0
1941-AUG,151.0
1941-SEP,270.0
1941-OCT,26.0
1941-NOV,7.0
1941-DEC,201.0
1942-JAN,79.0
1942-FEB,133.0
1942-MAR,14.0
1942-APR,78.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,230.0
1942-AUG,198.0
1942-SEP,52.0
1942-OCT,120.0
1942-NOV,0.0
1942-DEC,9.0
1943-JAN,80.0
1943-FEB,7.0
1943-MAR,91.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,15.0
1943-JUL,220.0
1943-AUG,406.0
1943-SEP,198.0
1943-OCT,90.0
1943-NOV,0.0
1943-DEC,61.0
1944-JAN,86.0
1944-FEB,147.0
1944-MAR,109.0
1944-APR,12.0
1944-MAY,0.0
1944-JUN,4.0
1944-JUL,95.0
1944-AUG,245.0
1944-SEP,131.0
1944-OCT,104.0
1944-NOV,191.0
1944-DEC,125.0
1945-JAN,43.0
1945-FEB,17.0
1945-MAR,56.0
1945-APR,10.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,187.0
1945-AUG,523.0
1945-SEP,18.0
1945-OCT,92.0
1945-NOV,
1945-DEC,80.0
1946-JAN,187.0
1946-FEB,1.0
1946-MAR,14.0
1946-APR,0.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,142.0
1946-AUG,484.0
1946-SEP,254.0
1946-OCT,41.0
1946-NOV,111.0
1946-DEC,51.0
1947-JAN,35.0
1947-FEB,4.0
1947-MAR,21.0
1947-APR,0.0
1947-MAY,0.0
1947-JUN,55.0
