date,precip
1923-JAN,0.0
1923-FEB,33.0
1923-MAR,39.0
1923-APR,28.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,301.0
1923-AUG,441.0
1923-SEP,44.0
1923-OCT,0.0
1923-NOV,227.0
1923-DEC,124.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,259.0
1924-APR,35.0
1924-MAY,0.0
1924-JUN,25.0
1924-JUL,209.0
1924-AUG,254.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,28.0
1924-DEC,137.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,6.0
1925-APR,55.0
1925-MAY,0.0
1925-JUN,187.0
1925-JUL,50.0
1925-AUG,232.0
1925-SEP,192.0
1925-OCT,54.0
1925-NOV,213.0
1925-DEC,50.0
1926-JAN,153.0
1926-FEB,70.0
1926-MAR,188.0
1926-APR,126.0
1926-MAY,20.0
1926-JUN,3.0
1926-JUL,239.0
1926-AUG,109.0
1926-SEP,240.0
1926-OCT,38.0
1926-NOV,0.0
1926-DEC,241.0
1927-JAN,18.0
1927-FEB,114.0
1927-MAR,108.0
1927-APR,47.0
1927-MAY,10.0
1927-JUN,0.0
1927-JUL,260.0
1927-AUG,446.0
1927-SEP,210.0
1927-OCT,12.0
1927-NOV,33.0
1927-DEC,241.0
1928-JAN,0.0
1928-FEB,91.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,157.0
1928-AUG,182.0
1928-SEP,154.0
1928-OCT,64.0
1928-NOV,103.0
1928-DEC,13.0
1929-JAN,67.0
1929-FEB,120.0
1929-MAR,75.0
1929-APR,24.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,130.0
1929-AUG,230.0
1929-SEP,290.0
1929-OCT,0.0
1929-NOV,9.0
1929-DEC,28.0
1930-JAN,210.0
1930-FEB,99.0
1930-MAR,193.0
1930-APR,9.0
1930-MAY,117.0
1930-JUN,205.0
1930-JUL,234.0
1930-AUG,121.0
1930-SEP,0.0
1930-OCT,0.0
1930-NOV,186.0
1930-DEC,74.0
1931-JAN,115.0
1931-FEB,186.0
1931-MAR,3.0
1931-APR,43.0
1931-MAY,16.0
1931-JUN,53.0
1931-JUL,370.0
1931-AUG,765.0
1931-SEP,104.0
1931-OCT,21.0
1931-NOV,246.0
1931-DEC,55.0
1932-JAN,130.0
1932-FEB,163.0
1932-MAR,12.0
1932-APR,23.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,904.0
1932-AUG,122.0
1932-SEP,160.0
1932-OCT,139.0
1932-NOV,0.0
1932-DEC,196.0
1933-JAN,97.0
1933-FEB,48.0
1933-MAR,0.0
1933-APR,12.0
1933-MAY,0.0
1933-JUN,33.0
1933-JUL,200.0
1933-AUG,94.0
1933-SEP,187.0
1933-OCT,87.0
1933-NOV,85.0
1933-DEC,13.0
1934-JAN,27.0
1934-FEB,167.0
1934-MAR,44.0
1934-APR,0.0
1934-MAY,10.0
1934-JUN,27.0
1934-JUL,378.0
1934-AUG,220.0
1934-SEP,42.0
1934-OCT,0.0
1934-NOV,87.0
1934-DEC,208.0
1935-JAN,184.0
1935-FEB,140.0
1935-MAR,178.0
1935-APR,0.0
1935-MAY,0.0
1935-JUN,0.0
1935-JUL,126.0
1935-AUG,453.0
1935-SEP,135.0
1935-OCT,0.0
1935-NOV,202.0
1935-DEC,113.0
1936-JAN,81.0
1936-FEB,143.0
1936-MAR,51.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,0.0
1936-JUL,301.0
1936-AUG,304.0
1936-SEP,146.0
1936-OCT,24.0
1936-NOV,93.0
1936-DEC,117.0
1937-JAN,193.0
1937-FEB,103.0
1937-MAR,87.0
1937-APR,0.0
1937-MAY,5.0
1937-JUN,25.0
1937-JUL,222.0
1937-AUG,235.0
1937-SEP,121.0
1937-OCT,38.0
1937-NOV,0.0
1937-DEC,145.0
1938-JAN,59.0
1938-FEB,83.0
1938-MAR,60.0
1938-APR,0.0
1938-MAY,0.0
1938-JUN,184.0
1938-JUL,56.0
1938-AUG,132.0
1938-SEP,0.0
1938-OCT,0.0
1938-NOV,7.0
1938-DEC,88.0
1939-JAN,66.0
1939-FEB,97.0
1939-MAR,30.0
1939-APR,26.0
1939-MAY,0.0
1939-JUN,142.0
1939-JUL,130.0
1939-AUG,413.0
1939-SEP,139.0
1939-OCT,62.0
1939-NOV,70.0
1939-DEC,54.0
1940-JAN,19.0
1940-FEB,186.0
1940-MAR,0.0
1940-APR,10.0
1940-MAY,2.0
1940-JUN,149.0
1940-JUL,154.0
1940-AUG,234.0
1940-SEP,253.0
1940-OCT,81.0
1940-NOV,112.0
1940-DEC,291.0
1941-JAN,97.0
1941-FEB,141.0
1941-MAR,146.0
1941-APR,140.0
1941-MAY,30.0
1941-JUN,0.0
1941-JUL,207.0
1941-AUG,296.0
1941-SEP,262.0
1941-OCT,78.0
1941-NOV,18.0
1941-DEC,202.0
1942-JAN,79.0
1942-FEB,114.0
1942-MAR,30.0
1942-APR,83.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,200.0
1942-AUG,260.0
1942-SEP,104.0
1942-OCT,72.0
1942-NOV,0.0
1942-DEC,18.0
1943-JAN,68.0
1943-FEB,0.0
1943-MAR,89.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,8.0
1943-JUL,135.0
1943-AUG,304.0
1943-SEP,157.0
1943-OCT,86.0
1943-NOV,0.0
1943-DEC,84.0
1944-JAN,95.0
1944-FEB,133.0
1944-MAR,107.0
1944-APR,7.0
1944-MAY,0.0
1944-JUN,3.0
1944-JUL,178.0
1944-AUG,472.0
1944-SEP,99.0
1944-OCT,39.0
1944-NOV,205.0
1944-DEC,112.0
1945-JAN,52.0
1945-FEB,52.0
1945-MAR,53.0
1945-APR,29.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,121.0
1945-AUG,482.0
1945-SEP,28.0
1945-OCT,278.0
1945-NOV,
1945-DEC,64.0
1946-JAN,192.0
1946-FEB,2.0
1946-MAR,42.0
1946-APR,0.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,283.0
1946-AUG,363.0
1946-SEP,388.0
1946-OCT,33.0
1946-NOV,116.0
1946-DEC,40.0
1947-JAN,36.0
1947-FEB,5.0
1947-MAR,42.0
1947-APR,0.0
1947-MAY,0.0
1947-JUN,61.0
1947-JUL,69.0
1947-AUG,175.0
1947-SEP,78.0
1947-OCT,15.0
1947-NOV,90.0
1947-DEC,115.0
1948-JAN,0.0
1948-FEB,227.0
1948-MAR,33.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,12.0
1948-JUL,287.0
1948-AUG,126.0
1948-SEP,69.0
1948-OCT,83.0
1948-NOV,0.0
1948-DEC,78.0
1949-JAN,181.0
1949-FEB,29.0
1949-MAR,38.0
1949-APR,0.0
1949-MAY,0.0
1949-JUN,17.75
1949-JUL,358.0
1949-AUG,275.0
1949-SEP,94.0
1949-OCT,28.0
1949-NOV,37.0
1949-DEC,156.0
1950-JAN,33.0
1950-FEB,122.0
1950-MAR,6.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,169.0
1950-JUL,590.0
1950-AUG,88.34482758620689
1950-SEP,41.26086956521739
1950-OCT,0.238095238095238
1950-NOV,0.0
1950-DEC,0.0
1957-JAN,208.92307692307693
1957-FEB,46.66666666666666
1957-MAR,72.07692307692308
1957-APR,32.32
1957-MAY,43.2
1957-JUN,108.0
1957-JUL,238.0
1957-AUG,237.0
1957-SEP,28.0
1957-OCT,198.46153846153845
1957-NOV,42.46153846153846
1957-DEC,44.11538461538461
1958-JAN,0.0
1958-FEB,114.0
1958-MAR,246.0
1958-APR,122.0
1958-MAY,5.0
1958-JUN,34.0
1958-JUL,545.0
1958-AUG,264.0
1958-SEP,190.0
1958-OCT,32.0
1958-NOV,136.0
1958-DEC,0.0
1959-JAN,3.0
1959-FEB,56.0
1959-MAR,0.0
1959-APR,6.0
1959-MAY,0.0
1959-JUN,14.0
1959-JUL,268.0
1959-AUG,386.0
1959-SEP,14.0
1959-OCT,129.0
1959-NOV,48.0
1959-DEC,167.0
1960-JAN,234.0
1960-FEB,60.0
1960-MAR,32.0
1960-APR,0.0
1960-MAY,0.0
1960-JUN,53.0
1960-JUL,117.0
1960-AUG,295.0
1960-SEP,150.0
1960-OCT,141.0
1960-NOV,18.0
1960-DEC,66.0
1961-JAN,119.0
1961-FEB,13.0
1961-MAR,24.0
1961-APR,0.0
1961-MAY,0.0
1961-JUN,30.0
1961-JUL,335.0
1961-AUG,244.0
1961-SEP,61.0
1961-OCT,180.0
1961-NOV,42.0
1961-DEC,245.0
1962-JAN,182.0
1962-FEB,79.0
1962-MAR,91.0
1962-APR,1.0
1962-MAY,0.0
1962-JUN,1.0
1962-JUL,205.0
1962-AUG,46.0
1962-SEP,186.0
1962-OCT,0.0
1962-NOV,20.0
1962-DEC,146.0
1963-JAN,124.0
1963-FEB,76.0
1963-MAR,82.0
1963-APR,42.0
1963-MAY,6.0
1963-JUN,0.0
1963-JUL,394.0
1963-AUG,300.0
1963-SEP,75.0
1963-OCT,64.0
1963-NOV,290.0
1963-DEC,62.0
1964-JAN,7.0
1964-FEB,25.0
1964-MAR,101.0
1964-APR,71.0
1964-MAY,1.0
1964-JUN,29.0
1964-JUL,325.0
1964-AUG,289.0
1964-SEP,409.0
1964-OCT,105.0
1964-NOV,86.0
1964-DEC,48.0
1965-JAN,75.0
1965-FEB,110.0
1965-MAR,21.0
1965-APR,54.0
1965-MAY,26.0
1965-JUN,20.0
1965-JUL,324.0
1965-AUG,144.0
1965-SEP,176.0
1965-OCT,4.0
1965-NOV,90.0
1965-DEC,615.0
1966-JAN,219.0
1966-FEB,180.0
1966-MAR,25.0
1966-APR,20.0
1966-MAY,7.0
1966-JUN,55.0
1966-JUL,146.0
1966-AUG,348.0
1966-SEP,338.0
1966-OCT,26.0
1966-NOV,37.0
1966-DEC,2.0
1967-JAN,6.0
1967-FEB,12.0
1967-MAR,45.0
1967-APR,67.0
1967-MAY,59.0
1967-JUN,46.0
1967-JUL,445.0
1967-AUG,435.0
1967-SEP,206.0
1967-OCT,127.0
1967-NOV,74.0
1967-DEC,463.0
1968-JAN,72.0
1968-FEB,148.0
1968-MAR,147.0
1968-APR,70.0
1968-MAY,3.0
1968-JUN,0.0
1968-JUL,262.0
1968-AUG,404.0
1968-SEP,5.0
1968-OCT,12.0
1968-NOV,126.0
1968-DEC,87.0
1969-JAN,38.0
1969-FEB,74.0
1969-MAR,39.0
1969-APR,0.0
1969-MAY,30.0
1969-JUN,2.0
1969-JUL,455.0
1969-AUG,511.0
1969-SEP,145.0
1969-OCT,9.0
1969-NOV,57.0
1969-DEC,52.0
1970-JAN,0.0
1970-FEB,41.0
1970-MAR,140.0
1970-APR,10.0
1970-MAY,11.0
1970-JUN,49.0
1970-JUL,197.0
1970-AUG,228.0
1970-SEP,299.0
1970-OCT,37.0
1970-NOV,0.0
1970-DEC,70.0
1971-JAN,0.0
1971-FEB,123.0
1971-MAR,0.0
1971-APR,31.0
1971-MAY,2.0
1971-JUN,6.0
1971-JUL,305.0
1971-AUG,667.0
1971-SEP,167.0
1971-OCT,130.0
1971-NOV,116.0
1971-DEC,282.0
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,2.0
1972-APR,0.0
1972-MAY,8.0
1972-JUN,232.0
1972-JUL,301.0
1972-AUG,120.0
1972-SEP,55.0
1972-OCT,415.0
1972-NOV,162.0
