date,precip
1992-JAN,229.0
1992-FEB,126.0
1992-MAR,257.3076923076923
1992-APR,38.0
1992-MAY,158.33333333333334
1992-JUN,10.0
1992-JUL,260.0
1992-AUG,485.0
1992-SEP,55.0
1992-OCT,0.0
1992-NOV,10.0
1992-DEC,444.0
1993-JAN,420.0
1993-FEB,228.0
1993-MAR,282.0
1993-APR,0.0
1993-MAY,5.0
1993-JUN,0.0
1993-JUL,106.0
1993-AUG,405.0
1993-SEP,52.0
1993-OCT,142.0
1993-NOV,120.0
1993-DEC,26.0
1994-JAN,30.0
1994-FEB,149.0
1994-MAR,227.0
1994-APR,38.0
1994-MAY,73.0
1994-JUN,79.0
1994-JUL,98.0
1994-AUG,398.0
1994-SEP,315.0
1994-OCT,96.0
1994-NOV,359.0
1994-DEC,456.0
1995-JAN,147.0
1995-FEB,157.0
1995-MAR,122.0
1995-APR,59.0
1995-MAY,0.0
1995-JUN,0.0
1995-JUL,154.0
1995-AUG,293.0
1995-SEP,64.0
1995-OCT,199.0
1995-NOV,47.0
1995-DEC,87.0
1996-JAN,51.0
1996-FEB,74.0
1996-MAR,21.423076923076923
1996-APR,0.0
1996-MAY,0.0
1996-JUN,25.0
1996-JUL,266.0
1996-AUG,341.0
1996-SEP,170.0
1996-OCT,204.0
1996-NOV,13.5
1996-DEC,5.230769230769231
1997-JAN,140.0
1997-FEB,152.0
1997-MAR,12.0
1997-APR,31.0
1997-MAY,100.0
1997-JUN,8.0
1997-JUL,240.0
1997-AUG,318.0
1997-SEP,236.0
1997-OCT,36.0
1997-NOV,87.0
1997-DEC,499.0
1998-JAN,8.0
1998-FEB,450.0
1998-MAR,326.0
1998-APR,70.0
1998-MAY,0.0
1998-JUN,0.0
1998-JUL,622.0
1998-AUG,173.0
1998-SEP,170.0
1998-OCT,124.0
1998-NOV,91.07692307692308
1998-DEC,73.23076923076923
1999-JAN,8.0
1999-FEB,0.0
1999-MAR,8.0
1999-APR,176.0
1999-MAY,0.0
1999-JUN,6.0
1999-JUL,358.0
1999-AUG,245.0
1999-SEP,113.0
1999-OCT,0.0
1999-NOV,0.0
1999-DEC,0.0
