date,precip
1923-JAN,0.0
1923-FEB,24.0
1923-MAR,39.0
1923-APR,0.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,215.0
1923-AUG,398.0
1923-SEP,36.0
1923-OCT,0.0
1923-NOV,187.0
1923-DEC,108.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,227.0
1924-APR,61.0
1924-MAY,0.0
1924-JUN,8.0
1924-JUL,125.0
1924-AUG,41.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,0.0
1924-DEC,104.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,4.0
1925-APR,43.0
1925-MAY,0.0
1925-JUN,85.0
1925-JUL,193.0
1925-AUG,150.0
1925-SEP,160.0
1925-OCT,145.0
1925-NOV,179.0
1925-DEC,29.0
1926-JAN,66.0
1926-FEB,56.0
1926-MAR,109.0
1926-APR,124.0
1926-MAY,40.0
1926-JUN,3.0
1926-JUL,190.0
1926-AUG,106.0
1926-SEP,355.0
1926-OCT,59.0
1926-NOV,0.0
1926-DEC,164.0
1927-JAN,18.0
1927-FEB,88.0
1927-MAR,87.0
1927-APR,0.0
1927-MAY,11.0
1927-JUN,8.0
1927-JUL,132.0
1927-AUG,279.0
1927-SEP,172.0
1927-OCT,12.0
1927-NOV,22.0
1927-DEC,167.0
1928-JAN,0.0
1928-FEB,138.0
1928-MAR,0.0
1928-APR,2.0
1928-MAY,1.0
1928-JUN,0.0
1928-JUL,214.0
1928-AUG,185.0
1928-SEP,70.0
1928-OCT,38.0
1928-NOV,32.0
1928-DEC,55.0
1929-JAN,50.0
1929-FEB,74.0
1929-MAR,40.0
1929-APR,15.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,141.0
1929-AUG,128.0
1929-SEP,269.0
1929-OCT,0.0
1929-NOV,6.0
1929-DEC,24.0
1930-JAN,171.0
1930-FEB,51.0
1930-MAR,143.0
1930-APR,5.0
1930-MAY,59.0
1930-JUN,163.0
1930-JUL,205.0
1930-AUG,85.0
1930-SEP,0.0
1930-OCT,0.0
1930-NOV,128.0
1930-DEC,74.0
1931-JAN,100.0
1931-FEB,205.0
1931-MAR,0.0
1931-APR,26.0
1931-MAY,27.0
1931-JUN,65.0
1931-JUL,180.0
1931-AUG,403.0
1931-SEP,53.0
1931-OCT,21.0
1931-NOV,198.0
1931-DEC,38.0
1932-JAN,70.0
1932-FEB,117.0
1932-MAR,4.0
1932-APR,3.0
1932-MAY,0.0
1932-JUN,0.0
1932-JUL,395.0
1932-AUG,114.0
1932-SEP,25.0
1932-OCT,112.0
1932-NOV,0.0
1932-DEC,155.0
1933-JAN,62.0
1933-FEB,22.0
1933-MAR,0.0
1933-APR,14.0
1933-MAY,0.0
1933-JUN,50.0
1933-JUL,274.0
1933-AUG,89.0
1933-SEP,186.0
1933-OCT,60.0
1933-NOV,61.0
1933-DEC,13.0
1934-JAN,36.0
1934-FEB,85.0
1934-MAR,21.0
1934-APR,4.0
1934-MAY,0.0
1934-JUN,17.0
1934-JUL,226.0
1934-AUG,165.0
1934-SEP,13.0
1934-OCT,0.0
1934-NOV,56.0
1934-DEC,162.0
1935-JAN,107.0
1935-FEB,162.0
1935-MAR,133.0
1935-APR,0.0
1935-MAY,11.0
1935-JUN,0.0
1935-JUL,173.0
1935-AUG,316.0
1935-SEP,100.0
1935-OCT,0.7894736842105263
1935-NOV,184.0
1935-DEC,95.0
1936-JAN,72.0
1936-FEB,87.0
1936-MAR,35.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,0.0
1936-JUL,259.0
1936-AUG,172.0
1936-SEP,143.0
1936-OCT,11.0
1936-NOV,90.0
1936-DEC,61.0
1937-JAN,168.0
1937-FEB,45.0
1937-MAR,56.0
1937-APR,0.0
1937-MAY,3.0
1937-JUN,25.0
1937-JUL,201.0
1937-AUG,339.0
1937-SEP,82.0
1937-OCT,20.0
1937-NOV,0.0
1937-DEC,102.0
1938-JAN,63.0
1938-FEB,53.0
1938-MAR,43.0
1938-APR,7.0
1938-MAY,0.0
1938-JUN,135.0
1938-JUL,136.0
1938-AUG,227.0
1938-SEP,23.0
1938-OCT,0.0
1938-NOV,6.0
1938-DEC,63.0
1939-JAN,35.0
1939-FEB,103.0
1939-MAR,12.0
1939-APR,32.0
1939-MAY,0.0
1939-JUN,39.0
1939-JUL,236.0
1939-AUG,283.0
1939-SEP,125.0
1939-OCT,50.0
1939-NOV,23.0
1939-DEC,42.0
1940-JAN,16.0
1940-FEB,181.0
1940-MAR,0.0
1940-APR,24.0
1940-MAY,10.0
1940-JUN,203.0
1940-JUL,236.0
1940-AUG,383.0
1940-SEP,333.0
1940-OCT,93.0
1940-NOV,58.0
1940-DEC,231.0
1941-JAN,72.0
1941-FEB,166.0
1941-MAR,116.0
1941-APR,125.0
1941-MAY,47.0
1941-JUN,0.0
1941-JUL,152.0
1941-AUG,238.0
1941-SEP,166.0
1941-OCT,40.0
1941-NOV,36.0
1941-DEC,191.0
1942-JAN,64.0
1942-FEB,104.0
1942-MAR,26.0
1942-APR,60.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,100.0
1942-AUG,198.0
1942-SEP,50.0
1942-OCT,23.0
1942-NOV,0.0
1942-DEC,4.0
1943-JAN,65.0
1943-FEB,3.0
1943-MAR,45.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,14.0
1943-JUL,252.0
1943-AUG,247.0
1943-SEP,162.0
1943-OCT,30.0
1943-NOV,0.0
1943-DEC,65.0
1944-JAN,75.0
1944-FEB,138.0
1944-MAR,84.0
1944-APR,0.0
1944-MAY,0.0
1944-JUN,0.0
1944-JUL,54.0
1944-AUG,334.0
1944-SEP,144.0
1944-OCT,106.0
1944-NOV,200.0
1944-DEC,114.0
1945-JAN,42.0
1945-FEB,61.0
1945-MAR,55.0
1945-APR,3.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,241.0
1945-AUG,393.0
1945-SEP,28.0
1945-OCT,98.0
1945-NOV,
1945-DEC,48.0
1946-JAN,190.0
1946-FEB,0.0
1946-MAR,35.0
1946-APR,3.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,228.0
1946-AUG,394.0
1946-SEP,345.0
1946-OCT,21.0
1946-NOV,85.0
1946-DEC,40.0
1947-JAN,31.0
1947-FEB,3.0
1947-MAR,28.0
1947-APR,0.0
1947-MAY,99.0
1947-JUN,75.0
1947-JUL,21.0
1947-AUG,145.0
1947-SEP,86.0
1947-OCT,44.0
1947-NOV,91.0
1947-DEC,80.0
1948-JAN,0.0
1948-FEB,194.0
1948-MAR,22.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,13.0
1948-JUL,265.0
1948-AUG,143.0
1948-SEP,56.0
1948-OCT,68.0
1948-NOV,0.0
1948-DEC,78.0
1949-JAN,144.0
1949-FEB,17.0
1949-MAR,41.0
1949-APR,0.0
1949-MAY,0.0
1949-JUN,20.0
1949-JUL,207.0
1949-AUG,240.0
1949-SEP,94.0
1949-OCT,46.0
1949-NOV,23.0
1949-DEC,142.0
1950-JAN,29.0
1950-FEB,125.0
1950-MAR,0.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,25.0
1950-JUL,652.0
1950-AUG,87.0
1950-SEP,57.0
1950-OCT,0.0
1950-NOV,0.0
1950-DEC,0.0
1951-JAN,194.0
1951-FEB,6.0
1951-MAR,0.0
1951-APR,130.0
1951-MAY,0.0
1951-JUN,0.0
1951-JUL,301.0
1951-AUG,391.0
1951-SEP,52.0
1951-OCT,238.0
1951-NOV,109.0
1951-DEC,127.0
1952-JAN,48.0
1952-FEB,0.0
1952-MAR,165.0
1952-APR,93.0
1952-MAY,0.0
1952-JUN,95.0
1952-JUL,74.0
1952-AUG,177.0
1952-SEP,183.0
1952-OCT,0.0
1952-NOV,196.0
1952-DEC,33.0
1953-JAN,0.6666666666666666
1953-FEB,130.0
1953-MAR,60.0
1953-APR,26.0
1953-MAY,0.0
1953-JUN,9.0
1953-JUL,270.0
1953-AUG,20.0
1953-SEP,0.0
1953-OCT,2.0
