date,precip
1971-JAN,0.0
1971-FEB,113.44444444444444
1971-MAR,2.6296296296296298
1971-APR,53.7037037037037
1971-MAY,4.25925925925926
1971-JUN,5.444444444444445
1971-JUL,189.0
1971-AUG,442.0
1971-SEP,223.0
1971-OCT,174.0
1971-NOV,116.0
1971-DEC,300.0
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,5.0
1972-APR,0.0
1972-MAY,9.0
1972-JUN,81.0
1972-JUL,258.0
1972-AUG,182.0
1972-SEP,70.0
1972-OCT,384.0
1972-NOV,101.0
1972-DEC,50.0
1973-JAN,72.0
1973-FEB,128.0
1973-MAR,335.0
1973-APR,0.0
1973-MAY,0.0
1973-JUN,67.0
1973-JUL,175.0
1973-AUG,89.0
1973-SEP,7.0
1973-OCT,0.0
1973-NOV,52.0
1973-DEC,0.0
1974-JAN,136.0
1974-FEB,0.0
1974-MAR,44.0
1974-APR,0.0
1974-MAY,1.0
1974-JUN,0.0
1974-JUL,637.0
1974-AUG,200.0
1974-SEP,164.0
1974-OCT,217.0
1974-NOV,38.0
1974-DEC,11.0
1975-JAN,65.0
1975-FEB,6.0
1975-MAR,111.0
1975-APR,55.0
1975-MAY,1.0
1975-JUN,0.0
1975-JUL,235.0
1975-AUG,137.0
1975-SEP,147.0
1975-OCT,0.0
1975-NOV,69.0
1975-DEC,53.0
1976-JAN,0.0
1976-FEB,68.0
1976-MAR,49.0
1976-APR,91.0
1976-MAY,28.0
1976-JUN,1.0
1976-JUL,528.0
1976-AUG,132.0
1976-SEP,182.0
1976-OCT,89.0
1976-NOV,60.0
1976-DEC,45.0
1977-JAN,262.0
1977-FEB,13.0
1977-MAR,67.0
1977-APR,18.0
1977-MAY,20.0
1977-JUN,14.0
1977-JUL,196.0
1977-AUG,235.0
1977-SEP,127.0
1977-OCT,305.0
1977-NOV,6.0
1977-DEC,111.0
1978-JAN,178.0
1978-FEB,180.0
1978-MAR,160.0
1978-APR,25.0
1978-MAY,5.0
1978-JUN,15.0
1978-JUL,410.0
1978-AUG,165.0
1978-SEP,75.0
1978-OCT,300.0
1978-NOV,225.0
1978-DEC,330.0
1979-JAN,290.0
1979-FEB,35.0
1979-MAR,86.0
1979-APR,0.0
1979-MAY,88.0
1979-JUN,55.0
1979-JUL,93.0
1979-AUG,534.0
1979-SEP,50.0
1979-OCT,39.0
1979-NOV,39.0
1979-DEC,38.0
1980-JAN,71.0
1980-FEB,237.0
1980-MAR,132.0
1980-APR,11.0
1980-MAY,0.0
1980-JUN,1.0
1980-JUL,264.0
1980-AUG,162.0
1980-SEP,110.0
1980-OCT,10.0
1980-NOV,8.2
1980-DEC,19.0
1981-JAN,87.0
1981-FEB,166.0
1981-MAR,115.0
1981-APR,33.0
1981-MAY,1.0
1981-JUN,69.0
1981-JUL,433.0
1981-AUG,77.0
1981-SEP,282.0
1981-OCT,0.0
1981-NOV,88.0
1981-DEC,56.0
1982-JAN,115.0
1982-FEB,57.0
1982-MAR,94.0
1982-APR,4.0
1982-MAY,26.0
1982-JUN,0.0
1982-JUL,272.0
1982-AUG,346.0
1982-SEP,235.0
1982-OCT,0.0
1982-NOV,66.0
1982-DEC,260.0
