date,precip
1923-JAN,12.0
1923-FEB,152.0
1923-MAR,61.0
1923-APR,78.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,674.0
1923-AUG,652.0
1923-SEP,0.0
1923-OCT,0.0
1923-NOV,580.0
1923-DEC,400.0
1924-JAN,30.0
1924-FEB,0.0
1924-MAR,318.0
1924-APR,45.0
1924-MAY,0.0
1924-JUN,14.0
1924-JUL,395.0
1924-AUG,273.0
1924-SEP,35.0
1924-OCT,0.0
1924-NOV,55.0
1924-DEC,142.0
1925-JAN,15.0
1925-FEB,0.0
1925-MAR,0.0
1925-APR,40.0
1925-MAY,0.0
1925-JUN,136.0
1925-JUL,379.0
1925-AUG,323.0
1925-SEP,109.0
1925-OCT,179.0
1925-NOV,190.0
1925-DEC,105.0
1926-JAN,184.0
1926-FEB,100.0
1926-MAR,203.0
1926-APR,168.0
1926-MAY,15.0
1926-JUN,70.0
1926-JUL,379.0
1926-AUG,137.0
1926-SEP,330.0
1926-OCT,60.0
1926-NOV,0.0
1926-DEC,406.0
1927-JAN,0.0
1927-FEB,123.0
1927-MAR,139.0
1927-APR,89.0
1927-MAY,15.0
1927-JUN,30.0
1927-JUL,270.0
1927-AUG,380.0
1927-SEP,213.0
1927-OCT,18.0
1927-NOV,21.0
1927-DEC,272.0
1928-JAN,0.0
1928-FEB,260.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,482.0
1928-AUG,64.0
1928-SEP,0.0
1928-OCT,43.0
1928-NOV,82.0
1928-DEC,74.0
1929-JAN,99.0
1929-FEB,100.0
1929-MAR,90.0
1929-APR,69.0
1929-MAY,4.0
1929-JUN,33.0
1929-JUL,690.0
1929-AUG,550.0
1929-SEP,355.0
1929-OCT,0.0
1929-NOV,20.0
1929-DEC,34.0
1930-JAN,272.0
1930-FEB,83.0
1930-MAR,347.0
1930-APR,16.0
1930-MAY,66.0
1930-JUN,182.0
1930-JUL,334.0
1930-AUG,360.0
1930-SEP,0.0
1930-OCT,0.0
1930-NOV,310.0
1930-DEC,70.0
1931-JAN,109.0
1931-FEB,425.0
1931-MAR,3.0
1931-APR,100.0
1931-MAY,5.0
1931-JUN,320.0
1931-JUL,275.0
1931-AUG,780.0
1931-SEP,480.0
1931-OCT,15.0
1931-NOV,293.0
1931-DEC,102.0
1932-JAN,113.0
1932-FEB,293.0
1932-MAR,38.0
1932-APR,24.0
1932-MAY,0.0
1932-JUN,67.0
1932-JUL,365.0
1932-AUG,354.0
1932-SEP,28.0
1932-OCT,142.0
1932-NOV,0.0
1932-DEC,164.0
1933-JAN,120.0
1933-FEB,50.0
1933-MAR,0.0
1933-APR,25.0
1933-MAY,0.0
1933-JUN,28.0
1933-JUL,234.0
1933-AUG,239.0
1933-SEP,238.0
1933-OCT,83.0
1933-NOV,145.0
1933-DEC,15.0
1934-JAN,90.0
1934-FEB,102.0
1934-MAR,26.0
1934-APR,0.0
1934-MAY,9.0
1934-JUN,39.0
1934-JUL,231.0
1934-AUG,474.0
1934-SEP,49.0
1934-OCT,0.0
1934-NOV,80.0
1934-DEC,244.0
1935-JAN,212.0
1935-FEB,188.0
1935-MAR,178.0
1935-APR,0.0
1935-MAY,8.0
1935-JUN,0.0
1935-JUL,181.0
1935-AUG,846.0
1935-SEP,198.0
1935-OCT,0.0
1935-NOV,238.0
1935-DEC,150.0
1936-JAN,77.0
1936-FEB,166.0
