date,precip
1971-JAN,0.0
1971-FEB,113.44444444444444
1971-MAR,2.6296296296296298
1971-APR,53.7037037037037
1971-MAY,4.25925925925926
1971-JUN,5.444444444444445
1971-JUL,154.0
1971-AUG,136.0
1971-SEP,70.0
1971-OCT,121.0
1971-NOV,84.0
1971-DEC,243.0
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,2.0
1972-APR,0.0
1972-MAY,8.0
1972-JUN,72.0
1972-JUL,324.0
1972-AUG,231.0
1972-SEP,110.0
1972-OCT,415.0
1972-NOV,123.0
1972-DEC,65.0
1973-JAN,36.0
1973-FEB,123.0
1973-MAR,286.0
1973-APR,2.0
1973-MAY,0.0
1973-JUN,85.0
1973-JUL,109.0
1973-AUG,86.0
1973-SEP,42.0
1973-OCT,0.0
1973-NOV,41.0
1973-DEC,0.0
1974-JAN,113.0
1974-FEB,0.0
1974-MAR,34.0
1974-APR,0.0
1974-MAY,5.0
1974-JUN,11.0
1974-JUL,610.0
1974-AUG,234.0
1974-SEP,80.0
1974-OCT,184.0
1974-NOV,86.0
1974-DEC,24.0
1975-JAN,52.0
1975-FEB,5.0
1975-MAR,107.0
1975-APR,17.0
1975-MAY,0.0
1975-JUN,0.0
1975-JUL,327.0
1975-AUG,98.0
1975-SEP,175.0
1975-OCT,0.0
1975-NOV,52.0
1975-DEC,42.0
1976-JAN,3.0
1976-FEB,80.0
1976-MAR,36.0
1976-APR,99.0
1976-MAY,48.0
1976-JUN,29.0
1976-JUL,232.0
1976-AUG,58.0
1976-SEP,84.0
1976-OCT,14.0
1976-NOV,49.0
1976-DEC,7.0
1977-JAN,276.0
1977-FEB,5.0
1977-MAR,58.0
1977-APR,55.0
1977-MAY,5.0
1977-JUN,10.0
1977-JUL,125.0
1977-AUG,261.1034482758621
1977-SEP,180.0
1977-OCT,225.0
1977-NOV,15.0
1977-DEC,120.0
1978-JAN,195.0
1978-FEB,185.0
1978-MAR,120.0
1978-APR,5.0
1978-MAY,15.0
1978-JUN,50.0
1978-JUL,395.0
1978-AUG,115.0
1978-SEP,135.0
1978-OCT,320.0
1978-NOV,240.0
1978-DEC,250.0
1979-JAN,285.0
1979-FEB,25.0
1979-MAR,46.0
1979-APR,55.0
1979-MAY,21.0
1979-JUN,89.0
1979-JUL,126.0
1979-AUG,397.0
1979-SEP,0.0
1979-OCT,5.0
1979-NOV,5.0
1979-DEC,38.0
1980-JAN,50.0
1980-FEB,258.0
1980-MAR,143.0
1980-APR,11.0
1980-MAY,0.0
1980-JUN,0.0
1980-JUL,272.0
1980-AUG,84.0
1980-SEP,62.0
1980-OCT,6.0
1980-NOV,20.0
1980-DEC,8.0
1981-JAN,78.0
1981-FEB,81.0
1981-MAR,251.0
1981-APR,22.0
1981-MAY,37.0
1981-JUN,0.0
1981-JUL,446.0
1981-AUG,19.0
1981-SEP,223.0
1981-OCT,4.0
1981-NOV,80.0
1981-DEC,2.0
1982-JAN,116.0
1982-FEB,11.0
1982-MAR,53.0
1982-APR,4.0
1982-MAY,20.0
1982-JUN,13.0
1982-JUL,167.0
1982-AUG,204.0
1982-SEP,283.0
1982-OCT,1.0
1982-NOV,111.0
1982-DEC,144.0
1983-JAN,203.0
1983-FEB,79.0
1983-MAR,124.0
1983-APR,7.0
1983-MAY,53.0
1983-JUN,0.0
1983-JUL,164.0
1983-AUG,369.0
1983-SEP,421.0
1983-OCT,416.0
1983-NOV,140.0
1983-DEC,63.0
1984-JAN,144.0
1984-FEB,0.0
1984-MAR,0.0
1984-APR,46.0
1984-MAY,16.0
1984-JUN,59.0
1984-JUL,396.0
1984-AUG,286.0
1984-SEP,342.0
1984-OCT,94.0
1984-NOV,51.0
1984-DEC,310.0
1985-JAN,173.0
1985-FEB,138.0
1985-MAR,3.0
1985-APR,43.0
1985-MAY,0.0
1985-JUN,2.0
1985-JUL,146.0
1985-AUG,140.0
1985-SEP,223.0
1985-OCT,162.0
1985-NOV,116.0
1985-DEC,23.0
1986-JAN,0.0
1986-FEB,138.0
1986-MAR,59.0
1986-APR,3.0
1986-MAY,21.0
1986-JUN,29.0
1986-JUL,114.0
1986-AUG,257.0
1986-SEP,64.0
1986-OCT,25.0
1986-NOV,57.0
1986-DEC,157.0
1987-JAN,29.0
1987-FEB,161.0
1987-MAR,21.0
1987-APR,125.0
1987-MAY,93.0
1987-JUN,0.0
1987-JUL,56.0
1987-AUG,191.0
1987-SEP,105.0
1987-OCT,70.0
1987-NOV,84.0
1987-DEC,218.0
1988-JAN,61.0
1988-FEB,48.0
1988-MAR,16.0
1988-APR,152.0
1988-MAY,0.0
1988-JUN,52.0
1988-JUL,311.0
1988-AUG,272.0
1988-SEP,17.0
1988-OCT,246.0
1988-NOV,17.0
1988-DEC,30.0
1989-JAN,57.0
1989-FEB,36.0
1989-MAR,61.0
1989-APR,0.0
1989-MAY,4.0
1989-JUN,0.0
1989-JUL,130.0
1989-AUG,356.0
1989-SEP,53.0
1989-OCT,191.0
1989-NOV,29.0
1989-DEC,42.0
1990-JAN,79.0
1990-FEB,79.0
1990-MAR,52.0
1990-APR,2.0
1990-MAY,3.0
1990-JUN,40.0
1990-JUL,769.0
1990-AUG,320.0
1990-SEP,57.0
1990-OCT,13.0
1990-NOV,24.0
1990-DEC,159.0
1991-JAN,96.0
1991-FEB,212.0
1991-MAR,106.0
1991-APR,6.0
1991-MAY,0.0
1991-JUN,17.0
1991-JUL,71.0
1991-AUG,142.0
1991-SEP,89.0
1991-OCT,39.0
1991-NOV,44.0
1991-DEC,187.0
1992-JAN,22.0
1992-FEB,17.0
1992-MAR,127.0
1992-APR,23.0
1992-MAY,100.0
1992-JUN,3.625
1992-JUL,203.0
1992-AUG,422.0
1992-SEP,11.0
1992-OCT,10.7
1992-NOV,6.0
1992-DEC,336.0
1993-JAN,281.0
1993-FEB,140.0
1993-MAR,72.0
1993-APR,2.571428571428572
1993-MAY,150.0
1993-JUN,0.0
1993-JUL,136.0
1993-AUG,529.0
1993-SEP,43.0
1993-OCT,55.0
1993-NOV,112.0
1993-DEC,15.0
1994-JAN,34.0
1994-FEB,80.0
1994-MAR,161.0
1994-APR,0.0
1994-MAY,14.0
1994-JUN,50.0
1994-JUL,15.0
1994-AUG,121.0
1994-SEP,189.0
1994-OCT,92.0
1994-NOV,261.0
1994-DEC,284.0
1995-JAN,67.0
1995-FEB,102.0
1995-MAR,50.0
1995-APR,37.0
1995-MAY,2.0
1995-JUN,0.0
1995-JUL,2.0
1995-AUG,244.88888888888889
1995-SEP,103.0
1995-OCT,50.0
1995-NOV,69.0
1995-DEC,41.0
1996-JAN,6.0
1996-FEB,100.0
1996-MAR,16.0
1996-APR,0.0
1996-MAY,0.0
1996-JUN,18.0
1996-JUL,298.0
1996-AUG,165.0
1996-SEP,120.0
1996-OCT,169.0
1996-NOV,14.0
1996-DEC,6.0
1997-JAN,130.0
1997-FEB,76.0
1997-MAR,6.0
1997-APR,23.0
1997-MAY,57.0
1997-JUN,0.0
1997-JUL,14.0
1997-AUG,242.0
1997-SEP,164.0
1997-OCT,105.0
