date,precip
1923-JAN,0.8571428571428571
1923-FEB,50.0
1923-MAR,52.0
1923-APR,41.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,568.0
1923-AUG,588.0
1923-SEP,66.0
1923-OCT,0.0
1923-NOV,385.0
1923-DEC,173.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,312.0
1924-APR,54.0
1924-MAY,0.0
1924-JUN,15.0
1924-JUL,214.0
1924-AUG,134.0
1924-SEP,77.0
1924-OCT,0.0
1924-NOV,38.0
1924-DEC,119.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,13.0
1925-APR,50.0
1925-MAY,0.0
1925-JUN,150.0
1925-JUL,214.0
1925-AUG,274.0
1925-SEP,214.0
1925-OCT,157.0
1925-NOV,152.0
1925-DEC,64.0
1926-JAN,102.0
1926-FEB,97.0
1926-MAR,157.0
1926-APR,121.0
1926-MAY,24.0
1926-JUN,10.0
1926-JUL,244.0
1926-AUG,245.0
1926-SEP,439.0
1926-OCT,82.0
1926-NOV,0.0
1926-DEC,230.0
1927-JAN,18.0
1927-FEB,108.0
1927-MAR,107.0
1927-APR,41.0
1927-MAY,0.0
1927-JUN,35.0
1927-JUL,185.0
1927-AUG,350.0
1927-SEP,243.0
1927-OCT,15.0
1927-NOV,24.0
1927-DEC,223.0
1928-JAN,0.0
1928-FEB,190.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,217.0
1928-AUG,344.0
1928-SEP,170.0
1928-OCT,89.0
1928-NOV,29.0
1928-DEC,61.0
1929-JAN,59.0
1929-FEB,160.0
1929-MAR,93.0
1929-APR,24.0
1929-MAY,0.0
1929-JUN,117.0
1929-JUL,317.0
1929-AUG,255.0
1929-SEP,481.0
1929-OCT,3.0
1929-NOV,11.0
1929-DEC,28.0
1930-JAN,205.0
1930-FEB,86.0
1930-MAR,298.0
1930-APR,16.0
1930-MAY,129.0
1930-JUN,291.0
1930-JUL,242.0
1930-AUG,242.0
1930-SEP,32.0
1930-OCT,15.0
1930-NOV,215.0
1930-DEC,49.0
1931-JAN,86.0
