date,precip
1923-JAN,0.0
1923-FEB,55.0
1923-MAR,60.0
1923-APR,0.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,507.0
1923-AUG,538.0
1923-SEP,47.0
1923-OCT,0.0
1923-NOV,402.0
1923-DEC,180.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,245.0
1924-APR,34.0
1924-MAY,0.0
1924-JUN,15.0
1924-JUL,399.0
1924-AUG,220.0
1924-SEP,18.0
1924-OCT,0.0
1924-NOV,61.0
1924-DEC,90.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,40.0
1925-APR,40.0
1925-MAY,0.0
1925-JUN,143.0
1925-JUL,255.0
1925-AUG,574.0
1925-SEP,134.0
1925-OCT,185.0
1925-NOV,165.0
1925-DEC,50.0
1926-JAN,154.0
1926-FEB,118.0
1926-MAR,226.0
1926-APR,177.0
1926-MAY,17.0
1926-JUN,29.0
1926-JUL,317.0
1926-AUG,65.0
1926-SEP,408.0
1926-OCT,268.0
1926-NOV,0.0
1926-DEC,297.0
1927-JAN,20.0
1927-FEB,93.0
1927-MAR,121.0
1927-APR,48.0
1927-MAY,21.0
1927-JUN,35.0
1927-JUL,225.0
1927-AUG,434.0
1927-SEP,198.0
1927-OCT,12.0
1927-NOV,15.0
1927-DEC,308.0
1928-JAN,0.0
1928-FEB,250.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,277.0
1928-AUG,563.0
1928-SEP,19.0
1928-OCT,115.0
1928-NOV,45.0
1928-DEC,70.0
1929-JAN,57.0
1929-FEB,169.0
1929-MAR,100.0
1929-APR,65.0
1929-MAY,17.0
1929-JUN,0.0
1929-JUL,471.0
1929-AUG,372.0
1929-SEP,320.0
1929-OCT,0.0
1929-NOV,0.0
1929-DEC,102.0
1930-JAN,235.0
1930-FEB,105.0
1930-MAR,298.0
1930-APR,33.0
1930-MAY,114.0
1930-JUN,200.0
1930-JUL,349.0
1930-AUG,310.0
1930-SEP,0.0
1930-OCT,13.0
1930-NOV,313.0
1930-DEC,45.0
1931-JAN,90.0
1931-FEB,359.0
1931-MAR,0.0
1931-APR,85.0
1931-MAY,12.0
1931-JUN,352.0
1931-JUL,288.0
1931-AUG,1184.0
1931-SEP,350.0
1931-OCT,48.0
1931-NOV,195.0
1931-DEC,121.0
1932-JAN,96.0
1932-FEB,254.0
1932-MAR,40.0
1932-APR,20.0
1932-MAY,0.0
1932-JUN,72.0
1932-JUL,482.0
1932-AUG,303.0
1932-SEP,45.0
1932-OCT,110.0
1932-NOV,0.0
1932-DEC,200.0
1933-JAN,110.0
1933-FEB,60.0
1933-MAR,0.0
1933-APR,15.0
1933-MAY,0.0
1933-JUN,47.0
1933-JUL,383.0
1933-AUG,204.0
1933-SEP,291.0
1933-OCT,64.0
1933-NOV,130.0
1933-DEC,25.0
1934-JAN,58.0
1934-FEB,118.0
1934-MAR,30.0
1934-APR,0.0
1934-MAY,25.0
1934-JUN,0.0
1934-JUL,203.0
1934-AUG,333.0
1934-SEP,0.0
1934-OCT,0.0
1934-NOV,80.0
1934-DEC,260.0
1935-JAN,212.0
1935-FEB,132.0
1935-MAR,208.0
1935-APR,0.0
1935-MAY,40.0
1935-JUN,0.0
1935-JUL,154.0
1935-AUG,930.0
1935-SEP,48.0
1935-OCT,0.0
1935-NOV,263.0
1935-DEC,204.0
1936-JAN,73.0
1936-FEB,183.0
1936-MAR,99.0
1936-APR,23.0
1936-MAY,0.0
1936-JUN,85.0
1936-JUL,235.0
1936-AUG,308.0
1936-SEP,252.0
1936-OCT,25.0
1936-NOV,183.0
1936-DEC,203.0
1937-JAN,245.0
1937-FEB,177.0
1937-MAR,102.0
1937-APR,0.0
1937-MAY,8.0
1937-JUN,52.0
1937-JUL,424.0
1937-AUG,369.0
1937-SEP,179.0
1937-OCT,102.0
1937-NOV,0.0
1937-DEC,165.0
1938-JAN,83.0
1938-FEB,130.0
1938-MAR,141.0
1938-APR,1.0
1938-MAY,0.0
1938-JUN,357.0
1938-JUL,412.0
1938-AUG,469.0
1938-SEP,101.0
1938-OCT,0.0
1938-NOV,20.0
1938-DEC,57.0
1939-JAN,65.0
1939-FEB,204.0
1939-MAR,45.0
1939-APR,47.0
1939-MAY,0.0
1939-JUN,0.0
1939-JUL,390.0
1939-AUG,401.0
1939-SEP,238.0
1939-OCT,99.0
1939-NOV,103.0
1939-DEC,68.0
1940-JAN,18.0
1940-FEB,254.0
1940-MAR,0.0
1940-APR,29.0
1940-MAY,5.0
1940-JUN,268.0
1940-JUL,473.0
1940-AUG,275.0
1940-SEP,466.0
1940-OCT,40.0
1940-NOV,165.0
1940-DEC,250.0
1941-JAN,219.0
1941-FEB,185.0
1941-MAR,109.0
1941-APR,136.0
1941-MAY,94.0
1941-JUN,2.0
1941-JUL,300.0
1941-AUG,233.0
1941-SEP,338.0
1941-OCT,86.0
1941-NOV,23.0
1941-DEC,208.0
1942-JAN,89.475
1942-FEB,140.0
1942-MAR,24.0
1942-APR,110.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,145.0
1942-AUG,260.0
1942-SEP,296.0
1942-OCT,165.0
1942-NOV,0.0
1942-DEC,22.0
1943-JAN,182.0
1943-FEB,5.0
1943-MAR,133.0
1943-APR,0.0
1943-MAY,0.0
1943-JUN,20.0
1943-JUL,325.0
1943-AUG,315.0
1943-SEP,158.0
1943-OCT,135.0
1943-NOV,0.0
1943-DEC,102.0
1944-JAN,67.0
1944-FEB,161.0
1944-MAR,165.0
1944-APR,42.0
1944-MAY,0.0
1944-JUN,35.0
1944-JUL,280.0
1944-AUG,357.0
1944-SEP,194.0
1944-OCT,208.0
1944-NOV,224.0
1944-DEC,150.0
1945-JAN,125.0
1945-FEB,30.0
1945-MAR,79.0
1945-APR,30.0
1945-MAY,0.0
1945-JUN,0.0
1945-JUL,428.0
1945-AUG,511.0
1945-SEP,33.0
1945-OCT,128.0
1945-NOV,
1945-DEC,110.0
1946-JAN,395.0
1946-FEB,9.0
1946-MAR,50.0
1946-APR,15.0
1946-MAY,0.0
1946-JUN,0.0
1946-JUL,337.0
1946-AUG,690.0
1946-SEP,405.0
1946-OCT,48.0
1946-NOV,150.0
1946-DEC,43.0
1947-JAN,28.0
1947-FEB,10.0
1947-MAR,30.0
1947-APR,9.0
1947-MAY,11.0
1947-JUN,5.0
1947-JUL,117.0
1947-AUG,202.0
1947-SEP,268.0
1947-OCT,17.0
1947-NOV,84.0
1947-DEC,255.0
1948-JAN,0.0
1948-FEB,240.0
1948-MAR,32.0
1948-APR,0.0
1948-MAY,0.0
1948-JUN,10.0
1948-JUL,359.0
1948-AUG,134.0
1948-SEP,105.0
1948-OCT,95.0
1948-NOV,0.0
1948-DEC,174.0
1949-JAN,285.0
1949-FEB,90.0
1949-MAR,35.0
1949-APR,41.0
1949-MAY,0.0
1949-JUN,17.75
1949-JUL,593.0
1949-AUG,481.0
1949-SEP,391.0
1949-OCT,140.0
1949-NOV,0.0
1949-DEC,194.0
1950-JAN,42.0
1950-FEB,183.0
1950-MAR,61.0
1950-APR,0.0
1950-MAY,0.0
1950-JUN,130.0
1950-JUL,898.0
1950-AUG,126.0
1950-SEP,41.26086956521739
1950-OCT,0.238095238095238
1950-NOV,0.0
1950-DEC,0.0
1951-JAN,259.0
1951-FEB,40.0
1951-MAR,6.0
1951-APR,321.0
1951-MAY,0.0
1951-JUN,0.0
1951-JUL,274.0
1951-AUG,614.0
1951-SEP,97.0
1951-OCT,226.7333333333333
1951-NOV,120.0
1951-DEC,179.0
1952-JAN,91.0
1952-FEB,0.0
1952-MAR,318.0
1952-APR,171.0
1952-MAY,0.0
1952-JUN,72.0
1952-JUL,196.0
1952-AUG,269.0
1952-SEP,74.0
1952-OCT,0.0
1952-NOV,244.0
1952-DEC,62.0
1953-JAN,0.6666666666666666
1953-FEB,180.0
1953-MAR,63.0
1953-APR,24.0
1953-MAY,25.0
1953-JUN,59.0
1953-JUL,304.0
1953-AUG,207.0
1953-SEP,0.0
1953-OCT,8.0
1953-NOV,18.0
1953-DEC,18.0
1954-JAN,104.0
1954-FEB,72.0
1954-MAR,215.0
1954-APR,0.0
1954-MAY,59.0
1954-JUN,58.0
1954-JUL,499.0
1954-AUG,372.0
1954-SEP,141.0
1954-OCT,55.0
1954-NOV,0.0
1954-DEC,20.0
1955-JAN,270.0
1955-FEB,45.0
1955-MAR,1.1111111111111112
1955-APR,0.0
1955-MAY,0.0
1955-JUN,0.0
1955-JUL,615.0
1955-AUG,1493.0
1955-SEP,41.0
1955-OCT,30.0
1955-NOV,0.0
1955-DEC,29.0
1956-JAN,148.0
1956-FEB,234.0
1956-MAR,0.0
1956-APR,35.0
1956-MAY,0.0
1956-JUN,7.0
1956-JUL,358.0
1956-AUG,235.0
1956-SEP,29.0
1956-OCT,76.0
1956-NOV,20.818181818181817
1956-DEC,59.0
1957-JAN,249.0
1957-FEB,33.0
1957-MAR,121.0
1957-APR,30.0
1957-MAY,61.0
1957-JUN,145.0
1957-JUL,291.0
1957-AUG,473.0
1957-SEP,0.0
1957-OCT,240.0
1957-NOV,49.0
1957-DEC,61.0
1958-JAN,0.0
1958-FEB,184.0
1958-MAR,349.0
1958-APR,88.0
1958-MAY,5.0
1958-JUN,41.0
1958-JUL,710.0
1958-AUG,601.0
1958-SEP,106.0
1958-OCT,95.0
1958-NOV,148.0
1958-DEC,0.0
1959-JAN,3.0
1959-FEB,122.0
1959-MAR,0.0
1959-APR,36.0
1959-MAY,0.0
1959-JUN,54.0
1959-JUL,518.0
1959-AUG,990.0
1959-SEP,21.0
1959-OCT,213.0
1959-NOV,79.0
1959-DEC,234.0
1960-JAN,374.0
1960-FEB,130.0
1960-MAR,30.0
1960-APR,0.0
1960-MAY,0.0
1960-JUN,63.0
1960-JUL,245.0
1960-AUG,207.0
