date,precip
1923-JAN,0.0
1923-FEB,63.0
1923-MAR,54.0
1923-APR,44.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,642.0
1923-AUG,548.0
1923-SEP,61.0
1923-OCT,0.0
1923-NOV,340.0
1923-DEC,92.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,285.0
1924-APR,43.0
1924-MAY,0.0
1924-JUN,14.0
1924-JUL,227.0
1924-AUG,122.0
1924-SEP,31.0
1924-OCT,0.0
1924-NOV,0.0
1924-DEC,153.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,10.0
1925-APR,31.0
1925-MAY,0.0
1925-JUN,127.0
1925-JUL,267.0
1925-AUG,323.0
1925-SEP,118.0
1925-OCT,145.0
1925-NOV,155.0
1925-DEC,54.0
1926-JAN,96.0
1926-FEB,88.0
1926-MAR,144.0
1926-APR,98.0
1926-MAY,20.0
1926-JUN,3.0
1926-JUL,217.0
1926-AUG,161.0
1926-SEP,412.0
1926-OCT,100.0
1926-NOV,0.0
1926-DEC,214.0
1927-JAN,20.0
1927-FEB,113.0
1927-MAR,90.0
1927-APR,27.0
1927-MAY,0.0
1927-JUN,35.0
1927-JUL,150.0
1927-AUG,270.0
1927-SEP,184.0
1927-OCT,13.0
1927-NOV,29.0
1927-DEC,232.0
1928-JAN,0.0
1928-FEB,184.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,186.0
1928-AUG,243.0
1928-SEP,122.0
1928-OCT,80.0
1928-NOV,29.0
1928-DEC,56.0
1929-JAN,53.0
1929-FEB,137.0
1929-MAR,86.0
1929-APR,16.0
1929-MAY,0.0
1929-JUN,43.0
1929-JUL,170.0
1929-AUG,210.0
1929-SEP,436.0
1929-OCT,0.0
1929-NOV,2.0
1929-DEC,29.0
1930-JAN,119.0
1930-FEB,151.0
1930-MAR,266.0
1930-APR,7.0
1930-MAY,148.0
1930-JUN,302.0
1930-JUL,284.0
1930-AUG,236.0
1930-SEP,24.0
1930-OCT,16.0
1930-NOV,242.0
1930-DEC,48.0
1931-JAN,67.0
1931-FEB,262.0
1931-MAR,0.0
