date,precip
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,205.0
1924-APR,27.0
1924-MAY,0.0
1924-JUN,16.0
1924-JUL,355.0
1924-AUG,220.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,40.0
1924-DEC,84.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,0.0
1925-APR,39.0
1925-MAY,0.0
1925-JUN,80.0
1925-JUL,237.0
1925-AUG,570.0
1925-SEP,145.0
1925-OCT,90.0
1925-NOV,235.0
1925-DEC,43.0
1926-JAN,137.0
1926-FEB,118.0
1926-MAR,225.0
1926-APR,190.0
1926-MAY,0.0
1926-JUN,5.0
1926-JUL,272.0
1926-AUG,132.0
1926-SEP,412.0
1926-OCT,225.0
1926-NOV,0.0
1926-DEC,225.0
1927-JAN,0.0
1927-FEB,90.0
1927-MAR,111.0
1927-APR,60.0
1927-MAY,0.0
1927-JUN,0.0
1927-JUL,155.0
1927-AUG,575.0
1927-SEP,520.0
1927-OCT,10.0
1927-NOV,17.0
1927-DEC,240.0
1928-JAN,0.0
1928-FEB,230.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,18.0
1928-JUN,0.0
1928-JUL,128.0
1928-AUG,378.0
1928-SEP,60.0
1928-OCT,50.0
1928-NOV,60.0
1928-DEC,56.0
1929-JAN,60.0
1929-FEB,70.0
1929-MAR,90.0
1929-APR,65.0
1929-MAY,0.0
1929-JUN,0.0
1929-JUL,353.0
1929-AUG,235.0
1929-SEP,330.0
1929-OCT,0.0
1929-NOV,30.0
1929-DEC,65.0
1930-JAN,190.0
1930-FEB,158.0
1930-MAR,215.0
1930-APR,0.0
1930-MAY,160.0
1930-JUN,220.0
1930-JUL,155.0
1930-AUG,290.0
1930-SEP,0.0
1930-OCT,10.0
1930-NOV,235.0
1930-DEC,0.0
1931-JAN,85.0
1931-FEB,305.0
1931-MAR,0.0
1931-APR,70.0
1931-MAY,35.0
1931-JUN,219.0
1931-JUL,239.0
1931-AUG,1473.0
1931-SEP,470.0
1931-OCT,87.0
1931-NOV,235.0
1931-DEC,80.0
1932-JAN,125.0
1932-FEB,374.0
1932-MAR,34.0
1932-APR,14.0
1932-MAY,0.0
1932-JUN,70.0
1932-JUL,555.0
1932-AUG,499.0
1932-SEP,19.0
1932-OCT,139.0
1932-NOV,0.0
1932-DEC,236.0
1933-JAN,127.0
1933-FEB,16.0
1933-MAR,0.0
1933-APR,15.0
1933-MAY,0.0
1933-JUN,45.0
1933-JUL,207.0
1933-AUG,151.0
1933-SEP,233.0
1933-OCT,76.0
1933-NOV,115.0
1933-DEC,35.0
1934-JAN,26.0
1934-FEB,130.0
1934-MAR,35.0
1934-APR,0.0
1934-MAY,15.0
1934-JUN,30.0
1934-JUL,213.0
1934-AUG,293.0
1934-SEP,0.0
1934-OCT,0.0
1934-NOV,81.0
1934-DEC,237.0
1935-JAN,110.0
1935-FEB,116.0
1935-MAR,204.0
1935-APR,0.0
1935-MAY,20.0
1935-JUN,0.0
1935-JUL,246.0
1935-AUG,558.0
1935-SEP,195.0
1935-OCT,0.0
1935-NOV,342.0
1935-DEC,139.0
1936-JAN,66.0
1936-FEB,191.0
1936-MAR,110.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,38.0
1936-JUL,263.0
1936-AUG,243.0
1936-SEP,158.0
1936-OCT,15.0
1936-NOV,104.0
1936-DEC,157.0
1937-JAN,217.0
1937-FEB,219.0
1937-MAR,94.0
1937-APR,0.0
1937-MAY,36.0
1937-JUN,36.0
1937-JUL,473.0
1937-AUG,302.0
1937-SEP,147.0
1937-OCT,112.0
1937-NOV,0.0
1937-DEC,187.0
1938-JAN,60.0
1938-FEB,118.0
1938-MAR,108.0
1938-APR,7.0
1938-MAY,0.0
1938-JUN,286.0
1938-JUL,228.0
1938-AUG,173.0
1938-SEP,46.0
1938-OCT,0.0
1938-NOV,25.0
1938-DEC,60.0
1939-JAN,48.0
1939-FEB,129.0
1939-MAR,38.0
1939-APR,30.0
1939-MAY,0.0
