date,precip
1972-JAN,0.0
1972-FEB,0.0
1972-MAR,4.1
1972-APR,0.0
1972-MAY,13.3125
1972-JUN,88.0
1972-JUL,491.0
1972-AUG,234.0
1972-SEP,113.0
1972-OCT,452.0
1972-NOV,142.0
1972-DEC,53.0
1973-JAN,30.0
1973-FEB,145.0
1973-MAR,237.0
1973-APR,3.0
1973-MAY,0.0
1973-JUN,84.0
1973-JUL,155.0
1973-AUG,38.0
1973-SEP,45.0
1973-OCT,0.0
1973-NOV,47.0
1973-DEC,0.0
1974-JAN,121.0
1974-FEB,0.0
1974-MAR,27.0
1974-APR,0.0
1974-MAY,3.0
1974-JUN,3.0
1974-JUL,557.0
1974-AUG,174.0
1974-SEP,138.0
1974-OCT,239.0
1974-NOV,83.0
1974-DEC,10.0
1975-JAN,47.0
1975-FEB,1.0
1975-MAR,99.0
1975-APR,20.0
1975-MAY,1.0
1975-JUN,0.0
1975-JUL,261.0
1975-AUG,68.0
1975-SEP,215.0
1975-OCT,0.0
1975-NOV,57.0
1975-DEC,52.0
1976-JAN,13.0
1976-FEB,67.0
1976-MAR,33.0
1976-APR,108.0
1976-MAY,49.0
1976-JUN,73.0
1976-JUL,397.8064516129032
1976-AUG,147.0
1976-SEP,210.51612903225808
1976-OCT,63.58064516129032
1976-NOV,66.2258064516129
1976-DEC,37.58064516129032
