date,precip
1923-JAN,0.0
1923-FEB,30.0
1923-MAR,48.0
1923-APR,27.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,626.0
1923-AUG,434.0
1923-SEP,89.0
1923-OCT,0.0
1923-NOV,197.0
1923-DEC,118.0
1924-JAN,15.0
1924-FEB,0.0
1924-MAR,285.0
1924-APR,38.0
1924-MAY,0.0
1924-JUN,18.0
1924-JUL,335.0
1924-AUG,109.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,24.0
1924-DEC,110.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,8.0
1925-APR,28.0
1925-MAY,0.0
1925-JUN,106.0
1925-JUL,357.0
1925-AUG,465.0
1925-SEP,127.0
1925-OCT,131.0
1925-NOV,192.0
1925-DEC,38.0
1926-JAN,116.0
1926-FEB,129.0
1926-MAR,162.0
1926-APR,136.0
1926-MAY,4.0
1926-JUN,8.0
1926-JUL,169.0
1926-AUG,138.0
1926-SEP,516.0
1926-OCT,87.0
1926-NOV,0.0
1926-DEC,200.0
1927-JAN,22.0
1927-FEB,143.0
1927-MAR,97.0
1927-APR,32.0
1927-MAY,40.0
1927-JUN,0.0
1927-JUL,301.0
1927-AUG,240.0
1927-SEP,267.0
1927-OCT,18.0
1927-NOV,24.0
1927-DEC,205.0
1928-JAN,0.0
1928-FEB,189.0
1928-MAR,0.0
1928-APR,4.466666666666667
1928-MAY,5.666666666666667
1928-JUN,0.0
1928-JUL,186.0
1928-AUG,323.0
1928-SEP,94.0
1928-OCT,80.0
1928-NOV,20.0
1928-DEC,59.0
1929-JAN,56.0
1929-FEB,125.0
1929-MAR,84.0
1929-APR,30.0
1929-MAY,0.0
1929-JUN,65.0
1929-JUL,125.0
1929-AUG,175.0
1929-SEP,303.0
1929-OCT,0.0
1929-NOV,2.0
1929-DEC,40.0
1930-JAN,126.0
1930-FEB,94.0
1930-MAR,295.0
1930-APR,86.0
1930-MAY,126.0
1930-JUN,255.0
1930-JUL,209.0
1930-AUG,269.0
1930-SEP,26.0
1930-OCT,10.266666666666667
1930-NOV,214.0
1930-DEC,81.0
1931-JAN,78.0
1931-FEB,248.0
1931-MAR,4.0
1931-APR,64.0
1931-MAY,6.0
1931-JUN,108.0
1931-JUL,332.0
1931-AUG,1052.0
1931-SEP,136.0
1931-OCT,0.0
1931-NOV,294.0
1931-DEC,73.0
1932-JAN,90.0
1932-FEB,185.0
1932-MAR,44.0
1932-APR,10.0
1932-MAY,0.0
1932-JUN,29.0
1932-JUL,478.0
1932-AUG,158.0
1932-SEP,56.0
1932-OCT,151.0
1932-NOV,0.0
1932-DEC,202.0
1933-JAN,83.0
1933-FEB,35.0
1933-MAR,0.0
1933-APR,11.0
1933-MAY,0.0
1933-JUN,55.0
1933-JUL,257.0
1933-AUG,181.0
1933-SEP,258.0
1933-OCT,207.0
1933-NOV,86.0
1933-DEC,26.0
1934-JAN,39.0
1934-FEB,77.0
1934-MAR,31.0
1934-APR,0.0
1934-MAY,0.0
1934-JUN,26.0
1934-JUL,218.0
1934-AUG,267.0
1934-SEP,0.0
1934-OCT,0.0
1934-NOV,32.0
1934-DEC,157.0
1935-JAN,135.0
1935-FEB,113.0
1935-MAR,132.0
1935-APR,0.0
1935-MAY,5.0
1935-JUN,0.0
1935-JUL,247.0
1935-AUG,622.0
1935-SEP,148.0
1935-OCT,0.0
1935-NOV,205.0
1935-DEC,140.0
1936-JAN,69.0
1936-FEB,126.0
1936-MAR,57.0
1936-APR,0.0
1936-MAY,0.0
1936-JUN,10.0
1936-JUL,475.0
1936-AUG,174.0
1936-SEP,177.0
1936-OCT,62.0
1936-NOV,105.0
1936-DEC,88.0
1937-JAN,174.0
1937-FEB,147.0
1937-MAR,97.0
1937-APR,0.0
