date,precip
1936-JAN,69.6
1936-FEB,150.25
1936-MAR,77.75
1936-APR,1.65
1936-MAY,0.0
1936-JUN,6.0
1936-JUL,392.0
1936-AUG,190.0
1936-SEP,251.0
1936-OCT,23.0
1936-NOV,113.0
1936-DEC,109.0
1937-JAN,185.0
1937-FEB,176.0
1937-MAR,75.0
1937-APR,0.0
1937-MAY,18.0
1937-JUN,13.0
1937-JUL,385.0
1937-AUG,275.0
1937-SEP,144.0
1937-OCT,18.0
1937-NOV,0.0
1937-DEC,112.0
1938-JAN,64.0
1938-FEB,101.0
1938-MAR,79.0
1938-APR,0.0
1938-MAY,0.0
1938-JUN,185.0
1938-JUL,315.0
1938-AUG,314.0
1938-SEP,81.0
1938-OCT,0.0
1938-NOV,16.0
1938-DEC,49.0
1939-JAN,72.0
1939-FEB,134.0
1939-MAR,25.0
1939-APR,28.0
1939-MAY,0.0
1939-JUN,0.0
1939-JUL,282.0
1939-AUG,345.0
1939-SEP,148.0
1939-OCT,59.0
1939-NOV,87.0
1939-DEC,60.0
1940-JAN,29.0
1940-FEB,191.0
1940-MAR,0.0
1940-APR,21.0
1940-MAY,6.0
1940-JUN,218.0
1940-JUL,192.0
1940-AUG,256.0
1940-SEP,206.0
1940-OCT,53.0
1940-NOV,86.0
1940-DEC,260.0
1941-JAN,70.0
1941-FEB,141.0
1941-MAR,109.0
1941-APR,127.0
1941-MAY,91.0
1941-JUN,0.0
1941-JUL,193.0
1941-AUG,185.0
1941-SEP,303.0
1941-OCT,26.0
1941-NOV,10.0
1941-DEC,196.0
1942-JAN,83.0
1942-FEB,93.0
1942-MAR,21.0
1942-APR,84.0
1942-MAY,0.0
1942-JUN,0.0
1942-JUL,193.0
1942-AUG,245.0
1942-SEP,192.0
1942-OCT,81.0
1942-NOV,0.0
1942-DEC,8.0
1943-JAN,110.375
1943-FEB,7.35
1943-MAR,99.175
1943-APR,0.0
1943-MAY,0.0
1943-JUN,12.075
1943-JUL,258.05
1943-AUG,400.8
1943-SEP,168.225
1943-OCT,73.575
1943-NOV,0.0
1943-DEC,71.7
