date,precip
1923-JAN,0.0
1923-FEB,54.0
1923-MAR,116.0
1923-APR,40.0
1923-MAY,0.0
1923-JUN,0.0
1923-JUL,724.0
1923-AUG,635.0
1923-SEP,75.0
1923-OCT,0.0
1923-NOV,439.0
1923-DEC,232.0
1924-JAN,0.0
1924-FEB,0.0
1924-MAR,374.0
1924-APR,72.0
1924-MAY,0.0
1924-JUN,21.0
1924-JUL,191.0
1924-AUG,173.0
1924-SEP,0.0
1924-OCT,0.0
1924-NOV,25.0
1924-DEC,135.0
1925-JAN,0.0
1925-FEB,0.0
1925-MAR,27.0
1925-APR,28.0
1925-MAY,0.0
1925-JUN,120.0
1925-JUL,138.0
1925-AUG,311.0
1925-SEP,63.0
1925-OCT,156.0
1925-NOV,135.0
1925-DEC,70.0
1926-JAN,123.0
1926-FEB,85.0
1926-MAR,180.0
1926-APR,157.0
1926-MAY,18.0
1926-JUN,15.0
1926-JUL,240.0
1926-AUG,185.0
1926-SEP,435.0
1926-OCT,35.0
1926-NOV,0.0
1926-DEC,248.0
1927-JAN,22.0
1927-FEB,141.0
1927-MAR,130.0
1927-APR,63.0
1927-MAY,0.0
1927-JUN,44.0
1927-JUL,240.0
1927-AUG,550.0
1927-SEP,349.0
1927-OCT,19.0
1927-NOV,42.0
1927-DEC,258.0
1928-JAN,3.0
1928-FEB,180.0
1928-MAR,0.0
1928-APR,0.0
1928-MAY,0.0
1928-JUN,0.0
1928-JUL,312.0
1928-AUG,371.0
1928-SEP,140.0
1928-OCT,106.0
1928-NOV,44.0
1928-DEC,67.0
1929-JAN,78.0
1929-FEB,158.0
1929-MAR,103.0
1929-APR,16.0
1929-MAY,9.0
1929-JUN,120.0
1929-JUL,422.0
1929-AUG,377.0
1929-SEP,353.0
1929-OCT,0.0
1929-NOV,14.0
1929-DEC,38.0
1930-JAN,213.0
1930-FEB,95.0
1930-MAR,280.0
1930-APR,10.0
1930-MAY,115.0
1930-JUN,160.0
1930-JUL,327.0
1930-AUG,452.0
1930-SEP,14.0
1930-OCT,10.0
1930-NOV,265.0
1930-DEC,52.0
1931-JAN,103.0
1931-FEB,367.0
1931-MAR,0.0
1931-APR,131.0
1931-MAY,35.0
1931-JUN,155.0
1931-JUL,354.0
1931-AUG,1136.0
1931-SEP,410.0
1931-OCT,5.0
1931-NOV,291.0
1931-DEC,108.0
1932-JAN,129.0
1932-FEB,293.0
1932-MAR,30.0
1932-APR,32.0
1932-MAY,0.0
1932-JUN,52.0
1932-JUL,381.0
1932-AUG,533.0
1932-SEP,110.0
1932-OCT,185.0
1932-NOV,0.0
1932-DEC,195.0
1933-JAN,111.0
1933-FEB,40.0
1933-MAR,0.0
1933-APR,31.0
1933-MAY,0.0
1933-JUN,27.0
1933-JUL,298.0
1933-AUG,222.0
1933-SEP,239.0
1933-OCT,83.0
1933-NOV,140.0
1933-DEC,21.0
1934-JAN,70.0
1934-FEB,78.0
1934-MAR,31.0
1934-APR,0.0
1934-MAY,1.0
1934-JUN,56.0
1934-JUL,181.0
