tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
65,43,55,0,0,0,0,0,0,49,38,42,65,43,55,65,43,55,29.89,29.68,0.0,0.02,0.08,2023-01-01
54,42,47,0,0,0,0,0,0,43,36,40,54,42,47,54,42,47,30.07,29.82,0.01,0.01,0.05,2023-01-02
60,44,51,0,0,0,0,0,0,41,34,39,60,44,51,60,44,51,30.19,30.01,0.01,0.01,0.02,2023-01-03
66,42,53,0,0,0,0,0,0,42,35,38,66,42,53,66,42,53,30.23,30.11,0.0,0.0,0.0,2023-01-04
72,44,57,0,0,0,0,0,0,43,31,37,72,44,57,70,44,57,30.16,29.98,0.0,0.0,0.0,2023-01-05
66,49,55,0,0,0,0,0,0,43,39,41,66,49,55,66,49,55,30.16,30.06,0.0,0.0,0.0,2023-01-06
70,41,54,0,0,0,0,0,0,42,35,40,70,41,54,70,41,54,30.17,30.07,0.0,0.0,0.0,2023-01-07
74,45,57,0,0,0,0,0,0,39,22,34,74,45,57,72,45,56,30.17,30.04,0.0,0.0,0.0,2023-01-08
73,43,57,0,0,0,0,0,0,36,26,31,73,43,57,71,43,56,30.16,30.07,0.0,0.0,0.0,2023-01-09
76,48,61,0,0,0,0,0,0,30,16,25,76,48,61,73,48,60,30.11,29.94,-0.01,0.0,0.0,2023-01-10
63,47,55,0,0,0,0,0,0,38,26,32,63,47,55,63,47,55,30.2,29.99,0.01,0.0,0.0,2023-01-11
74,41,58,0,0,0,0,0,0,34,20,28,74,41,58,72,41,57,30.26,30.12,0.0,0.0,0.0,2023-01-12
80,55,64,0,0,0,0,0,0,29,17,23,80,55,64,78,55,63,30.18,29.98,-0.01,0.0,0.0,2023-01-13
75,49,61,0,0,0,0,0,0,34,22,29,75,49,61,73,49,60,29.98,29.81,-0.01,0.0,0.0,2023-01-14
62,50,56,0,0,0,0,0,0,49,21,38,62,50,56,62,50,56,29.84,29.74,0.0,0.02,0.09,2023-01-15
57,48,52,0,0,0,0,0,0,50,43,47,57,48,52,57,48,52,29.96,29.76,0.0,0.02,0.18,2023-01-16
57,42,50,0,0,0,0,0,0,49,28,38,57,42,50,57,42,50,29.96,29.65,0.01,0.01,0.1,2023-01-17
55,40,46,0,0,0,0,0,0,36,28,32,55,40,46,55,40,46,30.16,29.95,0.01,0.01,0.07,2023-01-18
61,35,47,0,0,0,0,0,0,34,23,30,61,35,47,61,35,47,30.16,29.97,-0.01,0.01,0.04,2023-01-19
54,38,45,0,0,0,0,0,0,33,23,28,54,38,45,54,38,45,30.23,30.02,0.01,0.01,0.03,2023-01-20
39,33,36,0,0,0,0,0,0,28,26,27,39,33,36,39,33,36,30.26,30.22,0.0,0.01,0.01,2023-01-21
58,34,46,0,0,0,0,0,0,28,20,24,58,34,46,58,34,46,30.14,29.77,-0.03,0.01,0.02,2023-01-22
45,35,41,0,0,0,0,0,0,30,15,20,45,35,41,45,35,41,30.13,29.77,0.02,0.0,0.0,2023-01-23
52,29,40,0,0,0,0,0,0,30,24,28,52,29,40,52,29,40,30.31,30.13,0.01,0.0,0.0,2023-01-24
57,33,44,6,0,1,14,0,4,33,26,29,57,31,44,57,33,44,30.32,30.17,0.0,0.0,0.0,2023-01-25
59,32,45,13,0,2,19,1,7,29,16,22,59,32,45,59,32,45,30.29,30.19,0.0,0.0,0.0,2023-01-26
63,36,48,6,0,1,14,1,4,23,12,19,63,33,48,63,36,48,30.25,29.99,-0.01,0.0,0.0,2023-01-27
68,38,52,6,0,1,11,0,3,23,16,20,68,38,52,68,38,52,30.03,29.89,0.0,0.0,0.0,2023-01-28
67,39,54,18,0,4,24,1,9,35,14,19,67,36,54,67,39,54,29.96,29.81,0.0,0.0,0.0,2023-01-29
62,40,51,8,0,1,14,0,4,38,24,33,62,40,51,62,40,51,29.97,29.84,0.0,0.0,0.0,2023-01-30
62,38,49,8,0,1,14,1,5,41,31,35,62,35,49,62,38,49,30.04,29.92,0.0,0.0,0.0,2023-01-31
61,37,49,14,0,2,17,1,6,42,31,36,61,33,48,61,37,49,30.2,29.98,0.01,0.0,0.0,2023-02-01
65,38,51,6,0,1,10,0,4,34,25,29,65,37,51,65,38,51,30.34,30.2,0.0,0.0,0.0,2023-02-02
72,44,60,19,0,6,29,0,12,27,19,22,72,43,60,70,44,59,30.3,30.07,-0.01,0.0,0.0,2023-02-03
80,47,62,8,0,3,12,3,6,33,15,26,80,45,61,78,47,61,30.14,30.02,0.0,0.0,0.0,2023-02-04
80,44,61,12,1,4,18,2,8,31,24,27,80,42,61,78,44,60,30.11,29.93,-0.01,0.0,0.0,2023-02-05
62,43,52,14,0,4,21,1,9,33,20,27,62,40,52,62,43,52,30.05,29.88,0.0,0.0,0.0,2023-02-06
60,35,48,14,0,3,19,1,7,26,22,24,60,35,48,60,35,48,30.22,30.05,0.01,0.0,0.0,2023-02-07
65,36,51,8,0,1,15,1,5,27,22,24,65,32,51,65,36,51,30.26,30.14,0.0,0.0,0.0,2023-02-08
66,37,51,15,0,2,21,1,6,26,3,16,66,36,51,66,37,51,30.23,30.12,0.0,0.0,0.0,2023-02-09
66,45,55,19,0,5,29,0,10,14,6,11,66,40,54,66,45,55,30.29,30.09,-0.01,0.0,0.0,2023-02-10
69,51,58,0,0,0,0,0,0,23,5,13,69,51,58,69,51,58,30.08,29.82,-0.01,0.0,0.0,2023-02-11
76,46,59,0,0,0,0,0,0,36,4,21,76,46,59,74,46,59,29.87,29.68,0.0,0.0,0.0,2023-02-12
55,39,45,0,0,0,1,0,0,42,32,36,55,39,45,55,39,45,29.98,29.79,0.01,0.01,0.04,2023-02-13
60,39,50,0,0,0,0,0,0,40,32,36,60,39,50,60,39,50,29.99,29.69,-0.01,0.01,0.01,2023-02-14
49,34,41,0,0,0,0,0,0,40,13,25,49,34,41,49,34,41,30.2,29.7,0.02,0.01,0.06,2023-02-15
55,29,43,0,0,0,0,0,0,25,15,20,55,29,43,55,29,43,30.27,30.16,0.0,0.01,0.02,2023-02-16
63,42,53,0,0,0,0,0,0,17,9,14,63,42,53,63,42,53,30.21,29.96,-0.01,0.0,0.0,2023-02-17
75,53,62,0,0,0,0,0,0,38,15,27,75,53,62,73,53,62,30.05,29.9,0.0,0.0,0.0,2023-02-18
69,53,60,0,0,0,0,0,0,49,37,43,69,53,60,69,53,60,30.07,29.93,0.0,0.0,0.0,2023-02-19
72,55,62,0,0,0,0,0,0,50,45,47,72,55,62,70,55,62,30.07,29.89,-0.01,0.0,0.0,2023-02-20
63,52,57,0,0,0,0,0,0,51,40,46,63,52,57,63,52,57,29.89,29.62,-0.01,0.01,0.02,2023-02-21
54,44,50,0,0,0,0,0,0,44,30,38,54,44,50,54,44,50,29.93,29.55,0.01,0.01,0.02,2023-02-22
59,44,51,0,0,0,0,0,0,40,28,33,59,44,51,59,44,51,30.08,29.92,0.01,0.01,0.01,2023-02-23
70,38,54,0,0,0,0,0,0,38,31,35,70,38,54,70,38,54,30.14,29.98,0.0,0.0,0.0,2023-02-24
75,50,62,0,0,0,0,0,0,38,9,26,75,50,62,73,50,61,30.03,29.83,-0.01,0.0,0.0,2023-02-25
61,37,49,0,0,0,0,0,0,42,24,31,61,37,49,61,37,49,30.11,29.82,0.01,0.02,0.12,2023-02-26
64,35,50,0,0,0,0,0,0,35,24,30,64,35,50,64,35,50,30.13,29.98,0.0,0.01,0.03,2023-02-27
63,38,52,0,0,0,0,0,0,35,26,32,63,38,52,63,38,52,30.03,29.87,-0.01,0.0,0.0,2023-02-28
62,33,52,0,0,0,0,0,0,36,29,33,62,33,52,62,33,52,29.88,29.6,-0.01,0.01,0.01,2023-03-01
50,33,41,0,0,0,0,0,0,34,29,32,50,33,41,50,33,41,30.1,29.77,0.01,0.02,0.16,2023-03-02
59,35,47,0,0,0,3,0,0,36,30,33,59,35,47,59,35,47,30.1,29.89,-0.01,0.0,0.0,2023-03-03
73,39,56,0,0,0,0,0,0,36,28,33,73,39,56,71,39,55,29.98,29.84,0.0,0.0,0.0,2023-03-04
