STATION,YEAR,MONTH,PRECIPITATION
110,1937,APR,25.0
110,1937,AUG,348.0
110,1937,DEC,122.0
110,1937,FEB,141.0
110,1937,JAN,87.0
110,1937,JUL,346.0
110,1937,JUN,58.0
110,1937,MAR,80.0
110,1937,MAY,0.0
110,1937,NOV,0.0
110,1937,OCT,22.0
110,1937,SEP,200.0
110,1938,APR,6.0
110,1938,AUG,294.0
110,1938,DEC,64.0
110,1938,FEB,130.0
110,1938,JAN,78.0
110,1938,JUL,436.0
110,1938,JUN,286.0
110,1938,MAR,130.0
110,1938,MAY,0.0
110,1938,NOV,6.0
110,1938,OCT,0.0
110,1938,SEP,106.0
110,1939,APR,44.0
110,1939,AUG,321.0
110,1939,DEC,93.0
110,1939,FEB,152.0
110,1939,JAN,96.0
110,1939,JUL,391.0
110,1939,JUN,0.0
110,1939,MAR,30.0
110,1939,MAY,0.0
110,1939,NOV,3.0
110,1939,OCT,11.0
110,1939,SEP,153.0
111,1937,APR,23.0
111,1937,AUG,320.0
111,1937,DEC,118.0
111,1937,FEB,131.0
111,1937,JAN,81.0
111,1937,JUL,336.0
111,1937,JUN,58.0
111,1937,MAR,80.0
111,1937,MAY,5.0
111,1937,NOV,0.0
111,1937,OCT,19.0
111,1937,SEP,214.0
111,1938,APR,4.0
111,1938,AUG,304.0
111,1938,DEC,60.0
111,1938,FEB,122.0
111,1938,JAN,72.0
111,1938,JUL,392.0
111,1938,JUN,268.0
111,1938,MAR,122.0
111,1938,MAY,10.0
111,1938,NOV,6.0
111,1938,OCT,0.0
111,1938,SEP,72.0
111,1939,APR,42.0
111,1939,AUG,312.0
111,1939,DEC,89.0
111,1939,FEB,140.0
111,1939,JAN,90.0
111,1939,JUL,364.0
111,1939,JUN,0.0
111,1939,MAR,38.0
111,1939,MAY,0.0
111,1939,NOV,3.0
111,1939,OCT,9.5
111,1939,SEP,143.0
112,1937,APR,22.0
112,1937,AUG,300.0
112,1937,DEC,123.0
112,1937,FEB,121.0
112,1937,JAN,81.0
112,1937,JUL,342.0
112,1937,JUN,58.0
112,1937,MAR,81.0
112,1937,MAY,0.0
112,1937,NOV,0.0
112,1937,OCT,24.0
112,1937,SEP,248.0
112,1938,APR,2.0
112,1938,AUG,298.0
112,1938,DEC,58.0
112,1938,FEB,116.0
112,1938,JAN,68.0
112,1938,JUL,392.0
112,1938,JUN,316.0
112,1938,MAR,122.0
112,1938,MAY,0.0
112,1938,NOV,7.0
112,1938,OCT,0.0
112,1938,SEP,64.0
112,1939,APR,42.0
112,1939,AUG,299.0
112,1939,DEC,90.5
112,1939,FEB,126.0
112,1939,JAN,94.0
112,1939,JUL,367.0
112,1939,JUN,0.0
112,1939,MAR,40.0
112,1939,MAY,0.0
112,1939,NOV,3.5
112,1939,OCT,12.0
112,1939,SEP,156.0
113,1937,APR,11.0
113,1937,AUG,208.0
113,1937,DEC,116.0
113,1937,FEB,122.0
113,1937,JAN,63.0
113,1937,JUL,289.0
113,1937,JUN,14.0
113,1937,MAR,52.0
